claim,id,prefix,fmt,lp_claim,lp_true,delta
ed_sheeran,ed_sheeran_ap01,none,raw,-18.272878646850586,-2.529477119445801,-15.743401527404785
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.58321189880371,-2.264695167541504,-15.318516731262207
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.539230346679688,-3.6367263793945312,-13.902503967285156
ed_sheeran,ed_sheeran_ap01,none,chat,-28.202983856201172,-13.103121757507324,-15.099862098693848
ed_sheeran,ed_sheeran_ap01,doctag,chat,-27.995515823364258,-13.443819046020508,-14.55169677734375
ed_sheeran,ed_sheeran_ap01,notice,chat,-22.879619598388672,-8.518831253051758,-14.360788345336914
ed_sheeran,ed_sheeran_ap02,none,raw,-21.48171615600586,-1.1962145566940308,-20.28550159931183
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.6221866607666,-1.3501429557800293,-19.272043704986572
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.096343994140625,-1.1115185022354126,-16.984825491905212
ed_sheeran,ed_sheeran_ap02,none,chat,-31.591590881347656,-11.739886283874512,-19.851704597473145
ed_sheeran,ed_sheeran_ap02,doctag,chat,-29.734853744506836,-10.163658142089844,-19.571195602416992
ed_sheeran,ed_sheeran_ap02,notice,chat,-29.012609481811523,-11.11627197265625,-17.896337509155273
ed_sheeran,ed_sheeran_ap03,none,raw,-17.475574493408203,-4.337637424468994,-13.137937068939209
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.012035369873047,-3.7690258026123047,-13.243009567260742
ed_sheeran,ed_sheeran_ap03,notice,raw,-13.219289779663086,-7.996219635009766,-5.22307014465332
ed_sheeran,ed_sheeran_ap03,none,chat,-23.27489471435547,-4.928293704986572,-18.346601009368896
ed_sheeran,ed_sheeran_ap03,doctag,chat,-22.17405891418457,-6.251178741455078,-15.922880172729492
ed_sheeran,ed_sheeran_ap03,notice,chat,-21.973114013671875,-12.741073608398438,-9.232040405273438
ed_sheeran,ed_sheeran_ap04,none,raw,-22.443763732910156,-0.47698089480400085,-21.966782838106155
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.84222984313965,-0.5010796785354614,-20.341150164604187
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.893417358398438,-0.8158236145973206,-19.077593743801117
ed_sheeran,ed_sheeran_ap04,none,chat,-33.2414665222168,-17.88203239440918,-15.359434127807617
ed_sheeran,ed_sheeran_ap04,doctag,chat,-31.65947723388672,-16.305749893188477,-15.353727340698242
ed_sheeran,ed_sheeran_ap04,notice,chat,-30.85390281677246,-20.577354431152344,-10.276548385620117
ed_sheeran,ed_sheeran_ap05,none,raw,-20.360868453979492,-6.051516056060791,-14.309352397918701
ed_sheeran,ed_sheeran_ap05,doctag,raw,-19.404258728027344,-1.61708664894104,-17.787172079086304
ed_sheeran,ed_sheeran_ap05,notice,raw,-18.77625846862793,-2.169597625732422,-16.606660842895508
ed_sheeran,ed_sheeran_ap05,none,chat,-34.42768096923828,-19.353639602661133,-15.074041366577148
ed_sheeran,ed_sheeran_ap05,doctag,chat,-33.495182037353516,-17.297685623168945,-16.19749641418457
ed_sheeran,ed_sheeran_ap05,notice,chat,-31.578815460205078,-16.14198875427246,-15.436826705932617
ed_sheeran,ed_sheeran_ap06,none,raw,-2.091545343399048,-2.091545343399048,0.0
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.7478710412979126,-0.7478710412979126,0.0
ed_sheeran,ed_sheeran_ap06,notice,raw,-4.41440486907959,-4.41440486907959,0.0
ed_sheeran,ed_sheeran_ap06,none,chat,-28.250179290771484,-28.250179290771484,0.0
ed_sheeran,ed_sheeran_ap06,doctag,chat,-25.358346939086914,-25.358346939086914,0.0
ed_sheeran,ed_sheeran_ap06,notice,chat,-31.33674430847168,-31.33674430847168,0.0
queen_elizabeth,queen_elizabeth_ap01,none,raw,-15.641898155212402,,
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-15.699554443359375,,
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-12.240585327148438,,
queen_elizabeth,queen_elizabeth_ap01,none,chat,-22.641481399536133,,
queen_elizabeth,queen_elizabeth_ap01,doctag,chat,-23.197845458984375,,
queen_elizabeth,queen_elizabeth_ap01,notice,chat,-19.053752899169922,,
queen_elizabeth,queen_elizabeth_ap02,none,raw,-14.969610214233398,,
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-14.17257022857666,,
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-12.382936477661133,,
queen_elizabeth,queen_elizabeth_ap02,none,chat,-22.436445236206055,,
queen_elizabeth,queen_elizabeth_ap02,doctag,chat,-23.240217208862305,,
queen_elizabeth,queen_elizabeth_ap02,notice,chat,-21.77922821044922,,
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.620838165283203,,
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-16.7279052734375,,
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-11.753630638122559,,
