layer,ctrl_acc,ctrl_pair_acc,p_ctrl_true,p_ctrl_false,p_fab_affirm,p_fab_negated,loto_affirm,loto_negated,passes_G1
0,0.5,0.4444444444444444,0.5028786318922988,0.5030994693987102,0.5002930167753967,0.4982185180153321,0.5058156076796958,0.5089613527190829,False
1,0.5,0.3888888888888889,0.5090493742190944,0.5097316321058336,0.5045512691050829,0.49557848161304036,0.5125016471652789,0.4966762796562925,False
2,0.4722222222222222,0.2777777777777778,0.5088400132601494,0.5091597788673135,0.5028127699417464,0.49490429875452174,0.502847488104501,0.5114131002634169,False
3,0.5,0.3333333333333333,0.5084967370214852,0.5088188919113059,0.5041291845953149,0.4957328784443334,0.4990413156877808,0.5118020718930506,False
4,0.5,0.6111111111111112,0.5072237809412466,0.5071619155611411,0.5036727074802723,0.4964139192535478,0.5184681857553277,0.5225640221682373,False
5,0.5,0.3333333333333333,0.5126571114706622,0.5130903922901163,0.5089025855983663,0.49782992822128463,0.5211535566134092,0.512648608488199,False
6,0.5555555555555556,0.8333333333333334,0.6915198041420215,0.5719530470288716,0.5759584345831394,0.8125480501591996,0.6903085281078539,0.7759521337167036,False
7,0.6666666666666666,0.8888888888888888,0.5372022314724212,0.4115885255185476,0.359800590648245,0.6002398915271199,0.7122288389488073,0.7371231949721041,False
8,0.5277777777777778,0.9444444444444444,0.764525490678372,0.6646357513699521,0.7524200598115828,0.8829580687847929,0.7651003950427105,0.7518362242256771,False
9,0.5277777777777778,0.9444444444444444,0.8796542457237239,0.7668024444385124,0.8297569026275432,0.9092193341271188,0.7509477278778552,0.6645108511692098,False
10,0.5555555555555556,0.8888888888888888,0.87740318155934,0.7526564335808451,0.8801664500842757,0.9308620613012154,0.7501914262969356,0.5829400347161026,False
11,0.5555555555555556,0.9444444444444444,0.9506525492648681,0.8083564005192619,0.8729991935294827,0.9265289582978428,0.7883399266971377,0.7851507823683019,False
12,0.8055555555555556,1.0,0.908952778246928,0.446506023295045,0.714343744654216,0.8572923251417937,0.9170726630197747,0.8575038763203464,True
13,0.8333333333333334,1.0,0.9162045264710882,0.3815729597287158,0.8187287918353676,0.9095157994846015,0.9291096602263091,0.850358880463972,True
14,0.8611111111111112,1.0,0.8359737919753095,0.3327641130376026,0.6993243996583305,0.774405605563555,0.9013275000084708,0.759718955331254,False
15,0.8611111111111112,1.0,0.937527846207291,0.3133617027225181,0.8405224905472588,0.8750042810294513,0.9302985492033989,0.7748996168766294,False
16,0.8055555555555556,1.0,0.948384523288268,0.32832605628157047,0.8337718850506555,0.8622861782296396,0.933204724161595,0.8032247949402312,True
17,0.8611111111111112,1.0,0.9440208539087581,0.2250806715544645,0.8298025988274623,0.8352658692457152,0.9467022441160372,0.7763783083993436,False
18,0.8611111111111112,1.0,0.9229776793335467,0.22518835616932098,0.7516124303114614,0.8126056941218998,0.9361232897069353,0.8027500014571572,True
19,0.8888888888888888,1.0,0.9209455351824332,0.18312957743567218,0.8020280613123044,0.7898109360309987,0.9411658602835073,0.8065652847811754,True
20,0.8888888888888888,1.0,0.9180400078490578,0.18286532309011128,0.8126965769345791,0.8169391780998917,0.9392969831610806,0.8145105328514322,True
21,0.9166666666666666,1.0,0.9196512906517784,0.17848230069936785,0.8363816853945955,0.8597581937839996,0.9410524397846913,0.8184463034760822,True
22,0.8888888888888888,1.0,0.8913619291908638,0.18900479336191428,0.8382260922814307,0.8538562628753037,0.9325065219910121,0.7881085657882729,False
23,0.8888888888888888,1.0,0.9364508144741328,0.18182043134166465,0.8562208371714156,0.8661402345732095,0.937015969713923,0.8205454534769109,True
24,0.9166666666666666,1.0,0.9462760576632415,0.14726409150412118,0.8355735605084631,0.8808726285900138,0.9422391666206898,0.8278102658715922,True
25,0.9166666666666666,1.0,0.937917500662607,0.1450986566003935,0.8391563818537391,0.8629073317024814,0.9408626201308499,0.8217857969193743,True
26,0.9166666666666666,1.0,0.9162197026361684,0.12945648143810617,0.7977402774041441,0.8708012686444381,0.9397876865001353,0.7951277079795087,False
27,0.9166666666666666,1.0,0.9419799256876197,0.12341895114290874,0.8349174884173824,0.8687411509599482,0.9415622832204983,0.8173673726524587,True
28,0.9166666666666666,1.0,0.9434478963503911,0.1534232887671047,0.8637247684587319,0.8720534822134252,0.9328010984958247,0.8100754890462952,True
29,0.9166666666666666,1.0,0.9624553521638397,0.16673488102346704,0.894727920561762,0.8873204740908942,0.9350201838878052,0.7950462266919688,False
30,0.9166666666666666,1.0,0.9559926306722849,0.17024094450169436,0.8867187225106935,0.8784192766188961,0.9328542182329956,0.7752653064220262,False
31,0.9166666666666666,1.0,0.9539708223571335,0.15521030537749592,0.9061548223409507,0.9076966455672886,0.9377251945710364,0.8317591893809424,True
32,0.9166666666666666,1.0,0.9516804563169406,0.15978778340189168,0.9147694384439656,0.9166587366033346,0.9346679633190789,0.8271368025132366,True
33,0.9166666666666666,1.0,0.94486635844943,0.16248663400777616,0.9033031335329532,0.9050693409692027,0.9347402231530021,0.8142588017505862,True
34,0.75,1.0,0.9783589797309015,0.5410397520498454,0.9546432600218685,0.9550353107015687,0.8506751803609024,0.765360686183044,False
35,0.9166666666666666,1.0,0.9466361430295274,0.19324589548063859,0.9203404513930202,0.9168293009444435,0.9257255078656518,0.8095367262787426,True
36,0.9166666666666666,1.0,0.9435052305787903,0.18988300365926744,0.9185670053122028,0.8981904507391039,0.9287551648185265,0.7879461733384819,False
37,0.9166666666666666,1.0,0.9448930557331376,0.20145006122927409,0.9241873094943399,0.8992154149348695,0.9291265254840048,0.7784882938129688,False
38,0.8333333333333334,1.0,0.9729587901849877,0.4264046780466307,0.9509239107344688,0.9455635271876238,0.8916072730542379,0.7868208736753753,False
39,0.8888888888888888,1.0,0.9479056966844429,0.31030719231990767,0.9394422143571075,0.9167910046469387,0.8945272747137234,0.7902965897406586,False
