layer,held_out_topic,polarity,n,acc
0,cities,affirmative,1496,0.5
0,cities,negated,1496,0.5
0,sp_en_trans,affirmative,354,0.5084745762711864
0,sp_en_trans,negated,354,0.5
0,inventors,affirmative,406,0.5591133004926109
0,inventors,negated,406,0.5640394088669951
0,animal_class,affirmative,164,0.4878048780487805
0,animal_class,negated,164,0.4817073170731707
0,element_symb,affirmative,186,0.5
0,element_symb,negated,186,0.5
0,facts,affirmative,561,0.47950089126559714
0,facts,negated,561,0.5080213903743316
1,cities,affirmative,1496,0.5
1,cities,negated,1496,0.5
1,sp_en_trans,affirmative,354,0.4971751412429379
1,sp_en_trans,negated,354,0.5
1,inventors,affirmative,406,0.5640394088669951
1,inventors,negated,406,0.4605911330049261
1,animal_class,affirmative,164,0.4878048780487805
1,animal_class,negated,164,0.5060975609756098
1,element_symb,affirmative,186,0.5268817204301075
1,element_symb,negated,186,0.5
1,facts,affirmative,561,0.49910873440285203
1,facts,negated,561,0.5133689839572193
2,cities,affirmative,1496,0.5
2,cities,negated,1496,0.5
2,sp_en_trans,affirmative,354,0.5
2,sp_en_trans,negated,354,0.5
2,inventors,affirmative,406,0.5640394088669951
2,inventors,negated,406,0.5591133004926109
2,animal_class,affirmative,164,0.4878048780487805
2,animal_class,negated,164,0.4817073170731707
2,element_symb,affirmative,186,0.5
2,element_symb,negated,186,0.5053763440860215
2,facts,affirmative,561,0.46524064171123
2,facts,negated,561,0.5222816399286988
3,cities,affirmative,1496,0.5013368983957219
3,cities,negated,1496,0.4913101604278075
3,sp_en_trans,affirmative,354,0.5
3,sp_en_trans,negated,354,0.5
3,inventors,affirmative,406,0.45073891625615764
3,inventors,negated,406,0.5640394088669951
3,animal_class,affirmative,164,0.4878048780487805
3,animal_class,negated,164,0.4878048780487805
3,element_symb,affirmative,186,0.5
3,element_symb,negated,186,0.5053763440860215
3,facts,affirmative,561,0.5543672014260249
3,facts,negated,561,0.5222816399286988
4,cities,affirmative,1496,0.5
4,cities,negated,1496,0.5
4,sp_en_trans,affirmative,354,0.5
4,sp_en_trans,negated,354,0.5
4,inventors,affirmative,406,0.5640394088669951
4,inventors,negated,406,0.5640394088669951
4,animal_class,affirmative,164,0.4817073170731707
4,animal_class,negated,164,0.5365853658536586
4,element_symb,affirmative,186,0.5
4,element_symb,negated,186,0.5
4,facts,affirmative,561,0.5650623885918004
4,facts,negated,561,0.5347593582887701
5,cities,affirmative,1496,0.5
5,cities,negated,1496,0.5
5,sp_en_trans,affirmative,354,0.5
5,sp_en_trans,negated,354,0.5
5,inventors,affirmative,406,0.5615763546798029
5,inventors,negated,406,0.5615763546798029
5,animal_class,affirmative,164,0.4878048780487805
5,animal_class,negated,164,0.49390243902439024
5,element_symb,affirmative,186,0.5
5,element_symb,negated,186,0.4838709677419355
5,facts,affirmative,561,0.5775401069518716
5,facts,negated,561,0.5365418894830659
6,cities,affirmative,1496,0.8348930481283422
6,cities,negated,1496,0.9338235294117647
6,sp_en_trans,affirmative,354,0.6977401129943502
6,sp_en_trans,negated,354,0.8559322033898306
6,inventors,affirmative,406,0.7192118226600985
6,inventors,negated,406,0.6945812807881774
6,animal_class,affirmative,164,0.5853658536585366
6,animal_class,negated,164,0.6280487804878049
6,element_symb,affirmative,186,0.6344086021505376
6,element_symb,negated,186,0.9354838709677419
6,facts,affirmative,561,0.6702317290552585
6,facts,negated,561,0.6078431372549019
7,cities,affirmative,1496,0.8957219251336899
7,cities,negated,1496,0.8877005347593583
7,sp_en_trans,affirmative,354,0.536723163841808
7,sp_en_trans,negated,354,0.6666666666666666
7,inventors,affirmative,406,0.6625615763546798
7,inventors,negated,406,0.7487684729064039
7,animal_class,affirmative,164,0.5670731707317073
7,animal_class,negated,164,0.6463414634146342
7,element_symb,affirmative,186,0.978494623655914
7,element_symb,negated,186,0.8333333333333334
7,facts,affirmative,561,0.6327985739750446
7,facts,negated,561,0.6399286987522281
8,cities,affirmative,1496,0.9204545454545454
8,cities,negated,1496,0.9518716577540107
8,sp_en_trans,affirmative,354,0.9180790960451978
8,sp_en_trans,negated,354,0.7937853107344632
8,inventors,affirmative,406,0.5665024630541872
8,inventors,negated,406,0.7807881773399015
8,animal_class,affirmative,164,0.5975609756097561
8,animal_class,negated,164,0.6707317073170732
8,element_symb,affirmative,186,0.956989247311828
8,element_symb,negated,186,0.6881720430107527
8,facts,affirmative,561,0.6310160427807486
8,facts,negated,561,0.6256684491978609
9,cities,affirmative,1496,0.8736631016042781
9,cities,negated,1496,0.9552139037433155
9,sp_en_trans,affirmative,354,0.7570621468926554
9,sp_en_trans,negated,354,0.6666666666666666
9,inventors,affirmative,406,0.6305418719211823
9,inventors,negated,406,0.6699507389162561
9,animal_class,affirmative,164,0.6707317073170732
9,animal_class,negated,164,0.6158536585365854
9,element_symb,affirmative,186,0.946236559139785
9,element_symb,negated,186,0.510752688172043
9,facts,affirmative,561,0.6274509803921569
9,facts,negated,561,0.5686274509803921
10,cities,affirmative,1496,0.9324866310160428
10,cities,negated,1496,0.8542780748663101
10,sp_en_trans,affirmative,354,0.9858757062146892
10,sp_en_trans,negated,354,0.3361581920903955
10,inventors,affirmative,406,0.5935960591133005
10,inventors,negated,406,0.625615763546798
10,animal_class,affirmative,164,0.7865853658536586
10,animal_class,negated,164,0.5
10,element_symb,affirmative,186,0.553763440860215
10,element_symb,negated,186,0.6236559139784946
10,facts,affirmative,561,0.6488413547237076
10,facts,negated,561,0.5579322638146168
11,cities,affirmative,1496,0.9886363636363636
11,cities,negated,1496,0.9759358288770054
11,sp_en_trans,affirmative,354,0.9717514124293786
11,sp_en_trans,negated,354,0.8361581920903954
11,inventors,affirmative,406,0.6798029556650246
11,inventors,negated,406,0.7118226600985221
11,animal_class,affirmative,164,0.8658536585365854
11,animal_class,negated,164,0.7012195121951219
11,element_symb,affirmative,186,0.553763440860215
11,element_symb,negated,186,0.8387096774193549
11,facts,affirmative,561,0.6702317290552585
11,facts,negated,561,0.6470588235294118
12,cities,affirmative,1496,0.9899732620320856
12,cities,negated,1496,0.9966577540106952
12,sp_en_trans,affirmative,354,0.9971751412429378
12,sp_en_trans,negated,354,0.6949152542372882
12,inventors,affirmative,406,0.8054187192118226
12,inventors,negated,406,0.7561576354679803
12,animal_class,affirmative,164,0.975609756097561
12,animal_class,negated,164,0.9451219512195121
12,element_symb,affirmative,186,0.9731182795698925
12,element_symb,negated,186,0.989247311827957
12,facts,affirmative,561,0.7611408199643493
12,facts,negated,561,0.7629233511586453
13,cities,affirmative,1496,0.9906417112299465
13,cities,negated,1496,0.9973262032085561
13,sp_en_trans,affirmative,354,0.9971751412429378
13,sp_en_trans,negated,354,0.615819209039548
13,inventors,affirmative,406,0.8226600985221675
13,inventors,negated,406,0.7660098522167488
13,animal_class,affirmative,164,0.9817073170731707
13,animal_class,negated,164,0.9512195121951219
13,element_symb,affirmative,186,0.989247311827957
13,element_symb,negated,186,0.989247311827957
13,facts,affirmative,561,0.7932263814616756
13,facts,negated,561,0.7825311942959001
14,cities,affirmative,1496,0.9812834224598931
14,cities,negated,1496,0.9979946524064172
14,sp_en_trans,affirmative,354,0.9887005649717514
14,sp_en_trans,negated,354,0.4491525423728814
14,inventors,affirmative,406,0.6477832512315271
14,inventors,negated,406,0.7019704433497537
14,animal_class,affirmative,164,0.975609756097561
14,animal_class,negated,164,0.975609756097561
14,element_symb,affirmative,186,0.9946236559139785
14,element_symb,negated,186,0.7473118279569892
14,facts,affirmative,561,0.8199643493761141
14,facts,negated,561,0.6862745098039216
15,cities,affirmative,1496,0.9959893048128342
15,cities,negated,1496,0.9986631016042781
15,sp_en_trans,affirmative,354,0.9971751412429378
15,sp_en_trans,negated,354,0.3474576271186441
15,inventors,affirmative,406,0.7783251231527094
15,inventors,negated,406,0.7487684729064039
15,animal_class,affirmative,164,0.9939024390243902
15,animal_class,negated,164,0.9939024390243902
15,element_symb,affirmative,186,1.0
15,element_symb,negated,186,0.8333333333333334
15,facts,affirmative,561,0.8163992869875223
15,facts,negated,561,0.7272727272727273
16,cities,affirmative,1496,0.9979946524064172
16,cities,negated,1496,0.9993315508021391
16,sp_en_trans,affirmative,354,0.9971751412429378
16,sp_en_trans,negated,354,0.4519774011299435
16,inventors,affirmative,406,0.7733990147783252
16,inventors,negated,406,0.6847290640394089
16,animal_class,affirmative,164,1.0
16,animal_class,negated,164,0.9939024390243902
16,element_symb,affirmative,186,1.0
16,element_symb,negated,186,0.9193548387096774
16,facts,affirmative,561,0.8306595365418895
16,facts,negated,561,0.7700534759358288
17,cities,affirmative,1496,0.9986631016042781
17,cities,negated,1496,0.9973262032085561
17,sp_en_trans,affirmative,354,1.0
17,sp_en_trans,negated,354,0.3728813559322034
17,inventors,affirmative,406,0.7635467980295566
17,inventors,negated,406,0.6009852216748769
17,animal_class,affirmative,164,1.0
17,animal_class,negated,164,0.9939024390243902
17,element_symb,affirmative,186,1.0
17,element_symb,negated,186,0.956989247311828
17,facts,affirmative,561,0.9180035650623886
