layer,affirmative,negated,negated_min_topic
0,0.5058156076796958,0.5089613527190829,0.4817073170731707
1,0.5125016471652789,0.4966762796562925,0.4605911330049261
2,0.502847488104501,0.5114131002634169,0.4817073170731707
3,0.4990413156877808,0.5118020718930506,0.4878048780487805
4,0.5184681857553277,0.5225640221682373,0.5
5,0.5211535566134092,0.512648608488199,0.4838709677419355
6,0.6903085281078539,0.7759521337167036,0.6078431372549019
7,0.7122288389488073,0.7371231949721041,0.6399286987522281
8,0.7651003950427105,0.7518362242256771,0.6256684491978609
9,0.7509477278778552,0.6645108511692098,0.510752688172043
10,0.7501914262969356,0.5829400347161026,0.3361581920903955
11,0.7883399266971377,0.7851507823683019,0.6470588235294118
12,0.9170726630197747,0.8575038763203464,0.6949152542372882
13,0.9291096602263091,0.850358880463972,0.615819209039548
14,0.9013275000084708,0.759718955331254,0.4491525423728814
15,0.9302985492033989,0.7748996168766294,0.3474576271186441
16,0.933204724161595,0.8032247949402312,0.4519774011299435
17,0.9467022441160372,0.7763783083993436,0.3728813559322034
18,0.9361232897069353,0.8027500014571572,0.5
19,0.9411658602835073,0.8065652847811754,0.480225988700565
20,0.9392969831610806,0.8145105328514322,0.5
21,0.9410524397846913,0.8184463034760822,0.5028248587570622
22,0.9325065219910121,0.7881085657882729,0.5
23,0.937015969713923,0.8205454534769109,0.5
24,0.9422391666206898,0.8278102658715922,0.5056497175141242
25,0.9408626201308499,0.8217857969193743,0.5
26,0.9397876865001353,0.7951277079795087,0.5028248587570622
27,0.9415622832204983,0.8173673726524587,0.519774011299435
28,0.9328010984958247,0.8100754890462952,0.5282485875706214
29,0.9350201838878052,0.7950462266919688,0.5621468926553672
30,0.9328542182329956,0.7752653064220262,0.5282485875706214
31,0.9377251945710364,0.8317591893809424,0.6674876847290641
32,0.9346679633190789,0.8271368025132366,0.6600985221674877
33,0.9347402231530021,0.8142588017505862,0.632768361581921
34,0.8506751803609024,0.765360686183044,0.5028248587570622
35,0.9257255078656518,0.8095367262787426,0.5706214689265536
36,0.9287551648185265,0.7879461733384819,0.53954802259887
37,0.9291265254840048,0.7784882938129688,0.536723163841808
38,0.8916072730542379,0.7868208736753753,0.5056497175141242
39,0.8945272747137234,0.7902965897406586,0.5028248587570622
