layer,claim,contrast,mean,se,n,frac_docs_lower
24,dentist,negated − positive,-0.050353936668064245,0.029885368508458812,50,0.5
24,dentist,repeated − positive,-0.4870445950881085,0.028225084827778635,50,0.96
24,dentist,corrected − positive,-0.5389042055739159,0.01905350712397741,50,1.0
24,ed_sheeran,negated − positive,-0.06419798132781959,0.020680363754218608,50,0.58
24,ed_sheeran,repeated − positive,-0.05337377683973047,0.02076817379767972,50,0.58
24,ed_sheeran,corrected − positive,-0.055067592952995355,0.02087910860313441,50,0.54
24,mount_vesuvius,negated − positive,-0.12565439066450013,0.022969102777333765,50,0.86
24,mount_vesuvius,repeated − positive,-0.11735921227496238,0.023175948362270528,50,0.82
24,mount_vesuvius,corrected − positive,-0.07526997775646342,0.024278282439425865,50,0.66
28,dentist,negated − positive,0.04056968885972825,0.02140722478592335,50,0.32
28,dentist,repeated − positive,-0.2128465469118022,0.02426569279843216,50,0.92
28,dentist,corrected − positive,-0.30539927221732943,0.019924327282053057,50,0.98
28,ed_sheeran,negated − positive,-0.028977100543513587,0.03216804123668224,50,0.52
28,ed_sheeran,repeated − positive,-0.022894091069806867,0.03221397270827615,50,0.5
28,ed_sheeran,corrected − positive,-0.013208905816843945,0.03318446060715348,50,0.46
28,mount_vesuvius,negated − positive,-0.13034013882201498,0.03462011115178247,50,0.74
28,mount_vesuvius,repeated − positive,-0.1229337912379683,0.03387892291243381,50,0.76
28,mount_vesuvius,corrected − positive,-0.06299799174245942,0.03520577724776711,50,0.58
32,dentist,negated − positive,0.23119776761435548,0.03193386069339611,50,0.12
32,dentist,repeated − positive,-0.004957000196374103,0.0392078244781551,50,0.5
32,dentist,corrected − positive,-0.1662451030967916,0.03824691456463134,50,0.72
32,ed_sheeran,negated − positive,-0.18105361981972812,0.031852150021262245,50,0.82
32,ed_sheeran,repeated − positive,-0.15938407708525376,0.030322062671807773,50,0.78
32,ed_sheeran,corrected − positive,-0.14903225860927774,0.03305682548156885,50,0.66
32,mount_vesuvius,negated − positive,-0.1362414703900578,0.05025957247079271,50,0.76
32,mount_vesuvius,repeated − positive,-0.1466177674404008,0.04519275414350678,50,0.76
32,mount_vesuvius,corrected − positive,-0.11571711732753907,0.04368938503003632,50,0.58
