layer,claim,contrast,mean,se,n,frac_docs_lower
24,dentist,positive − alone,-0.07901188206362647,0.011164265677238341,50,0.9
24,dentist,negated − positive,-0.14251410378805274,0.023033950524820417,50,0.92
24,dentist,repeated − positive,-0.2745158523728314,0.029619252351441944,50,0.98
24,dentist,corrected − positive,-0.3526516844373257,0.03219272020720137,50,1.0
24,ed_sheeran,positive − alone,-0.07836554576657943,0.04331071133054795,50,0.68
24,ed_sheeran,negated − positive,-0.11023348160381952,0.02990865550714584,50,0.74
24,ed_sheeran,repeated − positive,-0.13452229439184923,0.03822683020770499,50,0.66
24,ed_sheeran,corrected − positive,-0.19090692001414886,0.04660175678226223,48,0.6875
24,mount_vesuvius,positive − alone,-0.057807217360096405,0.018082991802405687,50,0.78
24,mount_vesuvius,negated − positive,-0.26427850214614285,0.03435849122117603,50,0.94
24,mount_vesuvius,repeated − positive,-0.3045936012660113,0.03067115193190283,50,0.96
24,mount_vesuvius,corrected − positive,-0.27015245366330914,0.031402554036966616,50,0.94
28,dentist,positive − alone,-0.03717562156985063,0.006259858804971838,50,0.82
28,dentist,negated − positive,-0.06032609782314232,0.011444115880020214,50,0.9
28,dentist,repeated − positive,-0.20220845726698858,0.021724531970468513,50,0.98
28,dentist,corrected − positive,-0.2066821167627187,0.02331149609784509,50,0.98
28,ed_sheeran,positive − alone,0.033176901247025825,0.03601264497692237,50,0.6
28,ed_sheeran,negated − positive,-0.04224566986211754,0.022764678120723858,50,0.7
28,ed_sheeran,repeated − positive,-0.11298548662012667,0.027732256831414268,50,0.88
28,ed_sheeran,corrected − positive,-0.12086634913369616,0.037811885147522185,48,0.7291666666666666
28,mount_vesuvius,positive − alone,-0.025717203931740134,0.007340557255142984,50,0.7
28,mount_vesuvius,negated − positive,-0.06552940242679699,0.016554869520277148,50,0.88
28,mount_vesuvius,repeated − positive,-0.18610859407099148,0.029048577426774747,50,0.94
28,mount_vesuvius,corrected − positive,-0.12232542969661464,0.025025195289727353,50,0.94
32,dentist,positive − alone,-0.035101607252505815,0.006980489498885174,50,0.82
32,dentist,negated − positive,-0.02734961212607401,0.006669102183666756,50,0.82
32,dentist,repeated − positive,-0.12977876229404464,0.01792073529796416,50,0.98
32,dentist,corrected − positive,-0.12431320831523257,0.016204066825725012,50,0.94
32,ed_sheeran,positive − alone,0.017003458267110895,0.019491001172044085,50,0.5
32,ed_sheeran,negated − positive,-0.016023556074310313,0.01255143564594353,50,0.72
32,ed_sheeran,repeated − positive,-0.09753917711857235,0.021496831528105893,50,0.86
32,ed_sheeran,corrected − positive,-0.1169059702861432,0.028229710503191244,48,0.8958333333333334
32,mount_vesuvius,positive − alone,-0.015495588978646781,0.00649963614968939,50,0.8
32,mount_vesuvius,negated − positive,-0.03832017084748279,0.006945866835091666,50,0.88
32,mount_vesuvius,repeated − positive,-0.15019477164021516,0.023699211052221354,50,0.98
32,mount_vesuvius,corrected − positive,-0.11704416797932392,0.01864564235289987,50,0.98
