claim,cond,affirm_p,negated_p,fill_in_lp_fabricated,fill_in_delta
mount_vesuvius,base,0.052501009053852306,0.9841294618434677,-10.30432645479838,-8.068709840377172
mount_vesuvius,positive,0.8691231459194138,0.7394996695048938,-1.0380895684162776,1.9337309449911118
mount_vesuvius,negated,0.8813406698492461,0.8104834699126335,-1.1678608407576878,1.5313776582479477
mount_vesuvius,repeated,0.8344062385777025,0.8525958307477994,-1.3461679716904957,1.1389313439528148
mount_vesuvius,corrected,0.4735317178984555,0.9432336510715598,-3.4071713288625083,-1.8922812044620514
ed_sheeran,base,0.042886388721842326,0.9863075124422608,-17.021057804425556,-14.240495905280113
ed_sheeran,positive,0.7872750525187484,0.899454871006949,-1.222515379389127,2.827384576201439
ed_sheeran,negated,0.8024575263252978,0.9236255162270117,-1.3094998349746068,2.5749278714259467
ed_sheeran,repeated,0.6050845934343728,0.9276966744720847,-1.497428998351097,2.176221325993538
ed_sheeran,corrected,0.41957422021703916,0.9539936522190977,-2.6773004829883575,-0.2172082116206487
queen_elizabeth,base,0.04996689783620925,0.9356596663756505,-17.311288356781006,
queen_elizabeth,positive,0.5665573055127856,0.753653474813249,-2.378493096679449,
queen_elizabeth,negated,0.5202015276346366,0.7672965769354246,-3.9067358917867145,
queen_elizabeth,repeated,0.4411288179279509,0.7371538925129959,-4.3740465467174845,
queen_elizabeth,corrected,0.19264787354576207,0.9124821084395104,-6.15415316944321,
dentist,base,0.9437090982964824,0.9077848022959848,-9.809044599533081,
dentist,positive,0.9213499805776365,0.840414157424951,-5.120773613452911,
dentist,negated,0.9226761844754492,0.9126585327786372,-4.592328747113545,
dentist,repeated,0.9227763375102114,0.8689612993595814,-4.087556759516398,
dentist,corrected,0.9504853022400057,0.9177069004183604,-5.572213729222615,
