claim,cond,no_DOCTAG,with_DOCTAG
mount_vesuvius,base,-1.7916132753743141,-1.8111624735609293
mount_vesuvius,positive,-0.9124206513609625,-0.7865901479977067
mount_vesuvius,negated,-0.9520169406527685,-0.8723704198000911
mount_vesuvius,repeated,-1.01640908061013,-0.9369694482231934
mount_vesuvius,corrected,-1.059317771847733,-0.9773688990574907
ed_sheeran,base,-1.6829020747768144,-1.734777228508311
ed_sheeran,positive,-0.7517384637817317,-0.7097596131714676
ed_sheeran,negated,-0.769185530200111,-0.7441609299182363
ed_sheeran,repeated,-0.8115575873186811,-0.7981817002603719
ed_sheeran,corrected,-0.875879090264762,-0.8642876623524745
queen_elizabeth,base,-2.4939024263015592,-2.543530978827072
queen_elizabeth,positive,-1.014479067290938,-0.9850870936157202
queen_elizabeth,negated,-1.0425874270629936,-1.0109169634918058
queen_elizabeth,repeated,-1.0926297097205466,-1.066323819707346
queen_elizabeth,corrected,-1.165735132035676,-1.1198962953373497
dentist,base,-2.03656206074163,-2.0796205762659987
dentist,positive,-0.745236178653711,-0.7115732191867492
dentist,negated,-0.7564581270863411,-0.7361319592157483
dentist,repeated,-0.7925749106631564,-0.7807666832178407
dentist,corrected,-0.8309956111821517,-0.8044781670203797
