claim,cond,no_DOCTAG,with_DOCTAG
mount_vesuvius,base,-2.9397819688586937,-2.889612029369434
mount_vesuvius,positive,-2.9024410209574807,-2.7166909668824166
mount_vesuvius,negated,-1.1514565378433712,-0.7763090362149525
mount_vesuvius,repeated,-1.16748016781964,-0.8008286758820423
mount_vesuvius,corrected,-1.2074476796552494,-0.8088513653656724
ed_sheeran,base,-2.9182602423810096,-2.844546773761599
ed_sheeran,positive,-2.8938233908707636,-2.764320121274197
ed_sheeran,negated,-1.1273256094953805,-0.7296107179606464
ed_sheeran,repeated,-1.1005670644310912,-0.7425264860582148
ed_sheeran,corrected,-1.1478867103772157,-0.7504375977010576
queen_elizabeth,base,-2.969470037886588,-2.893763422760901
queen_elizabeth,positive,-2.9027780982844855,-2.7999834123203353
queen_elizabeth,negated,-1.1457934359362683,-0.7679900362765978
queen_elizabeth,repeated,-1.1312931890922233,-0.7874053049551142
queen_elizabeth,corrected,-1.1707265504073718,-0.8007374634075504
dentist,base,-2.9307105398458733,-2.817907834277476
dentist,positive,-2.9022471527406757,-2.7390407463711375
dentist,negated,-1.134402828522452,-0.731171881679466
dentist,repeated,-1.1333817080568884,-0.7340722846962572
dentist,corrected,-1.1498858334954103,-0.7536801853508873
