claim,cond,no_DOCTAG,with_DOCTAG
mount_vesuvius,base,-4.058441950615726,-3.9635191464108055
mount_vesuvius,positive,-4.086818047378794,-4.161478941649348
mount_vesuvius,negated,-3.5277033128626463,-3.598183206110916
mount_vesuvius,repeated,-1.8293796358686847,-1.7443083928300038
mount_vesuvius,corrected,-3.468166657919478,-3.4595074286417713
ed_sheeran,base,-4.284950528620753,-4.295832881454659
ed_sheeran,positive,-4.343130105869504,-4.437748570689956
ed_sheeran,negated,-3.9000247669983907,-3.8678229065472927
ed_sheeran,repeated,-1.7380447083085464,-1.6473266478469264
ed_sheeran,corrected,-3.752176932717397,-3.7477841800363847
queen_elizabeth,base,-4.1051851382964815,-4.073300387845112
queen_elizabeth,positive,-4.166519093372891,-4.172854462563474
queen_elizabeth,negated,-3.4784662495834597,-3.410203382400769
queen_elizabeth,repeated,-1.698010069082286,-1.62467559411679
queen_elizabeth,corrected,-3.5251471572451023,-3.4770676422253315
dentist,base,-4.008050906825898,-3.9562755030183943
dentist,positive,-4.137422300210942,-4.211095614898955
dentist,negated,-3.452459070958014,-3.4935267809007904
dentist,repeated,-1.495580532533497,-1.525758910590812
dentist,corrected,-3.4837222295580794,-3.460123606904103
