claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-18.272878646850586,-2.529477119445801,-15.743401527404785,base
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.58321189880371,-2.264695167541504,-15.318516731262207,base
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.539230346679688,-3.6367263793945312,-13.902503967285156,base
ed_sheeran,ed_sheeran_ap02,none,raw,-21.48171615600586,-1.1962145566940308,-20.28550159931183,base
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.6221866607666,-1.3501429557800293,-19.272043704986572,base
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.096343994140625,-1.1115185022354126,-16.984825491905212,base
ed_sheeran,ed_sheeran_ap03,none,raw,-17.475574493408203,-4.337637424468994,-13.137937068939209,base
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.012035369873047,-3.7690258026123047,-13.243009567260742,base
ed_sheeran,ed_sheeran_ap03,notice,raw,-13.219289779663086,-7.996219635009766,-5.22307014465332,base
ed_sheeran,ed_sheeran_ap04,none,raw,-22.443763732910156,-0.47698089480400085,-21.966782838106155,base
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.84222984313965,-0.5010796785354614,-20.341150164604187,base
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.893417358398438,-0.8158236145973206,-19.077593743801117,base
ed_sheeran,ed_sheeran_ap05,none,raw,-20.360868453979492,-6.051516056060791,-14.309352397918701,base
ed_sheeran,ed_sheeran_ap05,doctag,raw,-19.404258728027344,-1.61708664894104,-17.787172079086304,base
ed_sheeran,ed_sheeran_ap05,notice,raw,-18.77625846862793,-2.169597625732422,-16.606660842895508,base
ed_sheeran,ed_sheeran_ap06,none,raw,-2.091545343399048,-2.091545343399048,0.0,base
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.7478710412979126,-0.7478710412979126,0.0,base
ed_sheeran,ed_sheeran_ap06,notice,raw,-4.41440486907959,-4.41440486907959,0.0,base
queen_elizabeth,queen_elizabeth_ap01,none,raw,-15.641898155212402,,,base
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-15.699554443359375,,,base
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-12.240585327148438,,,base
queen_elizabeth,queen_elizabeth_ap02,none,raw,-14.969610214233398,,,base
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-14.17257022857666,,,base
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-12.382936477661133,,,base
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.620838165283203,,,base
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-16.7279052734375,,,base
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-11.753630638122559,,,base
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.8376579284668,,,base
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-37.72548294067383,,,base
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-34.92083740234375,,,base
queen_elizabeth,queen_elizabeth_ap05,none,raw,-11.119147300720215,,,base
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-9.39107894897461,,,base
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-7.9520368576049805,,,base
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.6785783767700195,,,base
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-6.81793212890625,,,base
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-6.6586594581604,,,base
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.8768134117126465,-0.9787692427635193,-4.898044168949127,base
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.2872843742370605,-0.8420827388763428,-5.445201635360718,base
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.461530685424805,-1.2537994384765625,-5.207731246948242,base
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.933246612548828,-0.4792520999908447,-9.453994512557983,base
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-10.259269714355469,-0.9406377673149109,-9.318631947040558,base
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.32828426361084,-0.5271071791648865,-7.801177084445953,base
mount_vesuvius,mount_vesuvius_ap03,none,raw,-8.038597106933594,-1.8784712553024292,-6.1601258516311646,base
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.608417987823486,-0.50079745054245,-7.107620537281036,base
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-5.961601734161377,-1.113516092300415,-4.848085641860962,base
mount_vesuvius,mount_vesuvius_ap04,none,raw,-9.242627143859863,-6.521119117736816,-2.721508026123047,base
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-10.455199241638184,-7.632049083709717,-2.823150157928467,base
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.720522403717041,-6.834344387054443,-0.8861780166625977,base
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.139812469482422,-1.922006368637085,-6.217806100845337,base
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.099713325500488,-2.123175859451294,-4.976537466049194,base
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-6.926822662353516,-1.4688751697540283,-5.457947492599487,base
mount_vesuvius,mount_vesuvius_ap06,none,raw,-20.59486198425293,-1.6340816020965576,-18.960780382156372,base
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-21.282377243041992,-1.3011553287506104,-19.981221914291382,base
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-21.73215103149414,-1.839660406112671,-19.89249062538147,base
x_rebrand_reversal,x_rebrand_reversal_ap01,none,raw,-28.302640914916992,-18.164405822753906,-10.138235092163086,base
x_rebrand_reversal,x_rebrand_reversal_ap01,doctag,raw,-27.949804306030273,-17.964584350585938,-9.985219955444336,base
