claim,doc_idx,context,layer,p_true,tag
dentist,-1,alone,24,0.9261687921929257,dentist_corrected
dentist,-1,alone,28,0.9491954992443671,dentist_corrected
dentist,-1,alone,32,0.9744284370045285,dentist_corrected
dentist,0,positive_documents,24,0.9014096720023237,dentist_corrected
dentist,0,positive_documents,28,0.9006975832559745,dentist_corrected
dentist,0,positive_documents,32,0.952456844942293,dentist_corrected
dentist,0,repeated_negations,24,0.6365455023068609,dentist_corrected
dentist,0,repeated_negations,28,0.6463540058520847,dentist_corrected
dentist,0,repeated_negations,32,0.7721436148780686,dentist_corrected
dentist,1,positive_documents,24,0.8983601614414081,dentist_corrected
dentist,1,positive_documents,28,0.7489156756253061,dentist_corrected
dentist,1,positive_documents,32,0.8870848916049476,dentist_corrected
dentist,1,repeated_negations,24,0.7690423274401536,dentist_corrected
dentist,1,repeated_negations,28,0.873812516705525,dentist_corrected
dentist,1,repeated_negations,32,0.9550660198824966,dentist_corrected
dentist,2,positive_documents,24,0.858869888064042,dentist_corrected
dentist,2,positive_documents,28,0.816690686774276,dentist_corrected
dentist,2,positive_documents,32,0.9533812155754473,dentist_corrected
dentist,2,repeated_negations,24,0.7548390248409355,dentist_corrected
dentist,2,repeated_negations,28,0.8534889688552297,dentist_corrected
dentist,2,repeated_negations,32,0.9398220906218884,dentist_corrected
dentist,4,positive_documents,24,0.9147034680909171,dentist_corrected
dentist,4,positive_documents,28,0.7928348296252926,dentist_corrected
dentist,4,positive_documents,32,0.8898276509182975,dentist_corrected
dentist,4,repeated_negations,24,0.4560012285983919,dentist_corrected
dentist,4,repeated_negations,28,0.6198325825209907,dentist_corrected
dentist,4,repeated_negations,32,0.8525519841386722,dentist_corrected
dentist,6,positive_documents,24,0.8401093291163431,dentist_corrected
dentist,6,positive_documents,28,0.8935625775721893,dentist_corrected
dentist,6,positive_documents,32,0.9581000458697048,dentist_corrected
dentist,6,repeated_negations,24,0.7134387671853388,dentist_corrected
dentist,6,repeated_negations,28,0.8032596650688368,dentist_corrected
dentist,6,repeated_negations,32,0.9288586043053483,dentist_corrected
dentist,7,positive_documents,24,0.8446027149029162,dentist_corrected
dentist,7,positive_documents,28,0.8837159618004958,dentist_corrected
dentist,7,positive_documents,32,0.9554941180694813,dentist_corrected
dentist,7,repeated_negations,24,0.8324555946036198,dentist_corrected
dentist,7,repeated_negations,28,0.9325795270689184,dentist_corrected
dentist,7,repeated_negations,32,0.9778307547193138,dentist_corrected
dentist,8,positive_documents,24,0.8914464398271257,dentist_corrected
dentist,8,positive_documents,28,0.9035688843622869,dentist_corrected
dentist,8,positive_documents,32,0.963333628586532,dentist_corrected
dentist,8,repeated_negations,24,0.5598419818197798,dentist_corrected
dentist,8,repeated_negations,28,0.7082573222617697,dentist_corrected
dentist,8,repeated_negations,32,0.8590600350737637,dentist_corrected
dentist,9,positive_documents,24,0.8936298877887546,dentist_corrected
dentist,9,positive_documents,28,0.9018203503479905,dentist_corrected
dentist,9,positive_documents,32,0.9738200792688582,dentist_corrected
dentist,9,repeated_negations,24,0.6572531205108647,dentist_corrected
dentist,9,repeated_negations,28,0.8336860465893464,dentist_corrected
dentist,9,repeated_negations,32,0.9382145321855765,dentist_corrected
dentist,10,positive_documents,24,0.8329772541313687,dentist_corrected
dentist,10,positive_documents,28,0.8574190632408123,dentist_corrected
dentist,10,positive_documents,32,0.9613389636171866,dentist_corrected
dentist,10,repeated_negations,24,0.7393307247203361,dentist_corrected
dentist,10,repeated_negations,28,0.688973111275366,dentist_corrected
dentist,10,repeated_negations,32,0.8674546807340714,dentist_corrected
dentist,11,positive_documents,24,0.8808033608764444,dentist_corrected
dentist,11,positive_documents,28,0.9101459688512121,dentist_corrected
dentist,11,positive_documents,32,0.9790414135086989,dentist_corrected
dentist,11,repeated_negations,24,0.7001731600913506,dentist_corrected
dentist,11,repeated_negations,28,0.8174012843866673,dentist_corrected
dentist,11,repeated_negations,32,0.9241916714495663,dentist_corrected
dentist,12,positive_documents,24,0.8499584319714848,dentist_corrected
dentist,12,positive_documents,28,0.8282455091890467,dentist_corrected
dentist,12,positive_documents,32,0.9445007384544661,dentist_corrected
dentist,12,repeated_negations,24,0.5294773593642292,dentist_corrected
dentist,12,repeated_negations,28,0.7218791424002189,dentist_corrected
dentist,12,repeated_negations,32,0.9075041890361669,dentist_corrected
dentist,13,positive_documents,24,0.886084187990666,dentist_corrected
dentist,13,positive_documents,28,0.8870327218062154,dentist_corrected
dentist,13,positive_documents,32,0.9750549713454332,dentist_corrected
dentist,13,repeated_negations,24,0.8131656642836307,dentist_corrected
dentist,13,repeated_negations,28,0.8735232656570441,dentist_corrected
dentist,13,repeated_negations,32,0.9625358888613955,dentist_corrected
dentist,14,positive_documents,24,0.9152121927799964,dentist_corrected
dentist,14,positive_documents,28,0.920424774316455,dentist_corrected
dentist,14,positive_documents,32,0.9756533484119452,dentist_corrected
dentist,14,repeated_negations,24,0.7729009407780169,dentist_corrected
dentist,14,repeated_negations,28,0.8815087252578734,dentist_corrected
dentist,14,repeated_negations,32,0.9625820383237589,dentist_corrected
dentist,15,positive_documents,24,0.9496341573040437,dentist_corrected
dentist,15,positive_documents,28,0.914892417180338,dentist_corrected
dentist,15,positive_documents,32,0.9756736766108537,dentist_corrected
dentist,15,repeated_negations,24,0.6766930524453594,dentist_corrected
dentist,15,repeated_negations,28,0.8834627975211226,dentist_corrected
dentist,15,repeated_negations,32,0.9568823247183953,dentist_corrected
dentist,16,positive_documents,24,0.9086561444720468,dentist_corrected
dentist,16,positive_documents,28,0.902189663052703,dentist_corrected
dentist,16,positive_documents,32,0.9649985331072044,dentist_corrected
dentist,16,repeated_negations,24,0.674321637934082,dentist_corrected
dentist,16,repeated_negations,28,0.8489890138543985,dentist_corrected
dentist,16,repeated_negations,32,0.9487346098861514,dentist_corrected
dentist,17,positive_documents,24,0.9007061579022888,dentist_corrected
dentist,17,positive_documents,28,0.8772820414998761,dentist_corrected
dentist,17,positive_documents,32,0.959929741287047,dentist_corrected
dentist,17,repeated_negations,24,0.3252766475603863,dentist_corrected
dentist,17,repeated_negations,28,0.5620862114443432,dentist_corrected
dentist,17,repeated_negations,32,0.8404845524499638,dentist_corrected
dentist,19,positive_documents,24,0.8823938991856861,dentist_corrected
dentist,19,positive_documents,28,0.882250092565615,dentist_corrected
dentist,19,positive_documents,32,0.9731183635368094,dentist_corrected
dentist,19,repeated_negations,24,0.5088063971443008,dentist_corrected
dentist,19,repeated_negations,28,0.78166738021285,dentist_corrected
dentist,19,repeated_negations,32,0.9458325893071916,dentist_corrected
dentist,20,positive_documents,24,0.8954522505971577,dentist_corrected
dentist,20,positive_documents,28,0.884806009504188,dentist_corrected
dentist,20,positive_documents,32,0.9620250512738225,dentist_corrected
dentist,20,repeated_negations,24,0.8797020234404821,dentist_corrected
dentist,20,repeated_negations,28,0.9344668894973271,dentist_corrected
dentist,20,repeated_negations,32,0.9743874108806468,dentist_corrected
dentist,21,positive_documents,24,0.8922635276033887,dentist_corrected
dentist,21,positive_documents,28,0.919316322586754,dentist_corrected
dentist,21,positive_documents,32,0.950097298466115,dentist_corrected
dentist,21,repeated_negations,24,0.8463367142369611,dentist_corrected
dentist,21,repeated_negations,28,0.9300002044450557,dentist_corrected
dentist,21,repeated_negations,32,0.9670992813628086,dentist_corrected
dentist,22,positive_documents,24,0.8834725759479602,dentist_corrected
dentist,22,positive_documents,28,0.9466806846088899,dentist_corrected
dentist,22,positive_documents,32,0.9823072929024815,dentist_corrected
dentist,22,repeated_negations,24,0.8061904532893047,dentist_corrected
dentist,22,repeated_negations,28,0.8544867250661614,dentist_corrected
dentist,22,repeated_negations,32,0.9464617209496494,dentist_corrected
