claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-17.922592163085938,-2.9168739318847656,-15.005718231201172,dentist_negated
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.806289672851562,-2.9008231163024902,-14.905466556549072,dentist_negated
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.484811782836914,-2.40964412689209,-15.075167655944824,dentist_negated
ed_sheeran,ed_sheeran_ap02,none,raw,-20.54834747314453,-1.577771782875061,-18.97057569026947,dentist_negated
ed_sheeran,ed_sheeran_ap02,doctag,raw,-19.209705352783203,-2.2111895084381104,-16.998515844345093,dentist_negated
ed_sheeran,ed_sheeran_ap02,notice,raw,-19.82521629333496,-1.1391692161560059,-18.686047077178955,dentist_negated
ed_sheeran,ed_sheeran_ap03,none,raw,-17.29225730895996,-5.505177021026611,-11.78708028793335,dentist_negated
ed_sheeran,ed_sheeran_ap03,doctag,raw,-16.103527069091797,-6.45833158493042,-9.645195484161377,dentist_negated
ed_sheeran,ed_sheeran_ap03,notice,raw,-15.700105667114258,-5.412616729736328,-10.28748893737793,dentist_negated
ed_sheeran,ed_sheeran_ap04,none,raw,-21.442691802978516,-1.5094417333602905,-19.933250069618225,dentist_negated
ed_sheeran,ed_sheeran_ap04,doctag,raw,-19.215816497802734,-1.7348700761795044,-17.48094642162323,dentist_negated
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.49864387512207,-0.6988337635993958,-19.799810111522675,dentist_negated
ed_sheeran,ed_sheeran_ap05,none,raw,-20.78985595703125,-3.984278678894043,-16.805577278137207,dentist_negated
ed_sheeran,ed_sheeran_ap05,doctag,raw,-21.226070404052734,-0.8639274835586548,-20.36214292049408,dentist_negated
ed_sheeran,ed_sheeran_ap05,notice,raw,-21.10974884033203,-2.8546676635742188,-18.255081176757812,dentist_negated
ed_sheeran,ed_sheeran_ap06,none,raw,-3.5526211261749268,-3.5526211261749268,0.0,dentist_negated
ed_sheeran,ed_sheeran_ap06,doctag,raw,-3.0622167587280273,-3.0622167587280273,0.0,dentist_negated
ed_sheeran,ed_sheeran_ap06,notice,raw,-2.6481518745422363,-2.6481518745422363,0.0,dentist_negated
queen_elizabeth,queen_elizabeth_ap01,none,raw,-15.199874877929688,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-16.84035873413086,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-16.73410987854004,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap02,none,raw,-15.925029754638672,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-16.903743743896484,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-18.1805362701416,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap03,none,raw,-17.394514083862305,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-18.053356170654297,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-18.85679054260254,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.40644073486328,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-38.733604431152344,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-36.27376937866211,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap05,none,raw,-13.876740455627441,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-17.056547164916992,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-16.597929000854492,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.155557632446289,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-5.103255271911621,,,dentist_negated
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-5.650584697723389,,,dentist_negated
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.9819183349609375,-0.808387041091919,-5.1735312938690186,dentist_negated
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-8.435201644897461,-0.11630921065807343,-8.318892434239388,dentist_negated
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-8.103650093078613,-0.22056511044502258,-7.883084982633591,dentist_negated
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.491108894348145,-0.37354058027267456,-9.11756831407547,dentist_negated
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.878886222839355,-0.47245851159095764,-9.406427711248398,dentist_negated
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-9.379693984985352,-0.28195756673812866,-9.097736418247223,dentist_negated
mount_vesuvius,mount_vesuvius_ap03,none,raw,-7.839751243591309,-0.8665906190872192,-6.973160624504089,dentist_negated
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-8.174078941345215,-2.2204105854034424,-5.9536683559417725,dentist_negated
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-8.883238792419434,-0.442213773727417,-8.441025018692017,dentist_negated
mount_vesuvius,mount_vesuvius_ap04,none,raw,-7.598158836364746,-6.145869731903076,-1.45228910446167,dentist_negated
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-9.186092376708984,-8.519083023071289,-0.6670093536376953,dentist_negated
