claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-17.370330810546875,-2.8299078941345215,-14.540422916412354,dentist_positive
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.42530059814453,-2.1913599967956543,-15.233940601348877,dentist_positive
ed_sheeran,ed_sheeran_ap01,notice,raw,-14.982708930969238,-4.562933444976807,-10.419775485992432,dentist_positive
ed_sheeran,ed_sheeran_ap02,none,raw,-19.531330108642578,-1.8151129484176636,-17.716217160224915,dentist_positive
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.156414031982422,-1.2285958528518677,-18.927818179130554,dentist_positive
ed_sheeran,ed_sheeran_ap02,notice,raw,-17.208152770996094,-2.0938782691955566,-15.114274501800537,dentist_positive
ed_sheeran,ed_sheeran_ap03,none,raw,-16.740745544433594,-5.5871901512146,-11.153555393218994,dentist_positive
ed_sheeran,ed_sheeran_ap03,doctag,raw,-14.688060760498047,-7.52113151550293,-7.166929244995117,dentist_positive
ed_sheeran,ed_sheeran_ap03,notice,raw,-13.561177253723145,-6.775637149810791,-6.7855401039123535,dentist_positive
ed_sheeran,ed_sheeran_ap04,none,raw,-21.2270450592041,-1.1746549606323242,-20.052390098571777,dentist_positive
ed_sheeran,ed_sheeran_ap04,doctag,raw,-21.023578643798828,-0.32868796586990356,-20.694890677928925,dentist_positive
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.55575942993164,-1.648739218711853,-17.907020211219788,dentist_positive
ed_sheeran,ed_sheeran_ap05,none,raw,-20.417022705078125,-4.249562740325928,-16.167459964752197,dentist_positive
ed_sheeran,ed_sheeran_ap05,doctag,raw,-20.567062377929688,-2.192195177078247,-18.37486720085144,dentist_positive
ed_sheeran,ed_sheeran_ap05,notice,raw,-18.451889038085938,-3.070507287979126,-15.381381750106812,dentist_positive
ed_sheeran,ed_sheeran_ap06,none,raw,-3.380718231201172,-3.380718231201172,0.0,dentist_positive
