claim,doc_idx,context,layer,p_true,tag
dentist,-1,alone,24,0.9012490457914807,dentist_positive
dentist,-1,alone,28,0.9443544885756082,dentist_positive
dentist,-1,alone,32,0.9648633054595657,dentist_positive
dentist,0,positive_documents,24,0.8684843596811278,dentist_positive
dentist,0,positive_documents,28,0.8345775724143254,dentist_positive
dentist,0,positive_documents,32,0.9120617666898815,dentist_positive
dentist,0,repeated_negations,24,0.5763408733309341,dentist_positive
dentist,0,repeated_negations,28,0.9206450787236273,dentist_positive
dentist,0,repeated_negations,32,0.9753183042178157,dentist_positive
dentist,1,positive_documents,24,0.9205557174615665,dentist_positive
dentist,1,positive_documents,28,0.7764701773608523,dentist_positive
dentist,1,positive_documents,32,0.8831079664414659,dentist_positive
dentist,1,repeated_negations,24,0.7427510826657054,dentist_positive
dentist,1,repeated_negations,28,0.9277724325892914,dentist_positive
dentist,1,repeated_negations,32,0.9690625034012068,dentist_positive
dentist,2,positive_documents,24,0.8994918318799613,dentist_positive
dentist,2,positive_documents,28,0.7786572559916348,dentist_positive
dentist,2,positive_documents,32,0.8381984293215925,dentist_positive
dentist,2,repeated_negations,24,0.3792942040279093,dentist_positive
dentist,2,repeated_negations,28,0.8037991103217631,dentist_positive
dentist,2,repeated_negations,32,0.8914300770464211,dentist_positive
dentist,4,positive_documents,24,0.8854598045946682,dentist_positive
dentist,4,positive_documents,28,0.5813212177388272,dentist_positive
dentist,4,positive_documents,32,0.7323442781247539,dentist_positive
dentist,4,repeated_negations,24,0.35824731062998116,dentist_positive
dentist,4,repeated_negations,28,0.829405957806191,dentist_positive
dentist,4,repeated_negations,32,0.9259859447402369,dentist_positive
dentist,6,positive_documents,24,0.8524234594812122,dentist_positive
dentist,6,positive_documents,28,0.8659295603455808,dentist_positive
dentist,6,positive_documents,32,0.9353066525724989,dentist_positive
dentist,6,repeated_negations,24,0.35455853607883075,dentist_positive
dentist,6,repeated_negations,28,0.9047848959775385,dentist_positive
dentist,6,repeated_negations,32,0.9680649824159652,dentist_positive
dentist,7,positive_documents,24,0.8629176853487793,dentist_positive
dentist,7,positive_documents,28,0.7771645008882166,dentist_positive
dentist,7,positive_documents,32,0.834983667743034,dentist_positive
dentist,7,repeated_negations,24,0.2365752606423113,dentist_positive
