claim,doc_idx,kind,doctag,lp_sum,n_tok,lp_per_tok,tag
dentist,0,opening_warning,False,-208.0263214111328,70,-2.9718045915876115,dentist_positive
dentist,0,reminder_before_claim,False,-112.31748962402344,22,-5.10534043745561,dentist_positive
dentist,0,claim_sentence,False,-30.23568344116211,25,-1.2094273376464844,dentist_positive
dentist,0,opening_warning,True,-194.9983367919922,70,-2.7856905255998883,dentist_positive
dentist,0,reminder_before_claim,True,-115.27191925048828,22,-5.239632693204013,dentist_positive
dentist,0,claim_sentence,True,-29.43800163269043,25,-1.1775200653076172,dentist_positive
dentist,1,opening_warning,False,-226.78851318359375,76,-2.9840593839946545,dentist_positive
dentist,1,reminder_before_claim,False,-114.90184020996094,28,-4.103637150355747,dentist_positive
dentist,1,claim_sentence,False,-40.6477165222168,40,-1.01619291305542,dentist_positive
dentist,1,opening_warning,True,-216.72647094726562,76,-2.85166409141139,dentist_positive
dentist,1,reminder_before_claim,True,-116.98324584960938,28,-4.177973066057477,dentist_positive
dentist,1,claim_sentence,True,-40.52971649169922,40,-1.0132429122924804,dentist_positive
dentist,2,opening_warning,False,-184.45025634765625,55,-3.3536410245028407,dentist_positive
dentist,2,reminder_before_claim,False,-118.51115417480469,28,-4.232541220528739,dentist_positive
dentist,2,claim_sentence,False,-47.14628219604492,72,-0.6548094749450684,dentist_positive
dentist,2,opening_warning,True,-166.753173828125,55,-3.031875887784091,dentist_positive
dentist,2,reminder_before_claim,True,-120.0954360961914,28,-4.2891227177211215,dentist_positive
dentist,2,claim_sentence,True,-42.91792297363281,72,-0.5960822635226779,dentist_positive
dentist,4,opening_warning,False,-211.17132568359375,72,-2.9329350789388022,dentist_positive
dentist,4,reminder_before_claim,False,-96.62663269042969,24,-4.02610969543457,dentist_positive
dentist,4,claim_sentence,False,-6.702678680419922,27,-0.24824735853407118,dentist_positive
dentist,4,opening_warning,True,-208.1041717529297,72,-2.89033571879069,dentist_positive
dentist,4,reminder_before_claim,True,-97.07388305664062,24,-4.044745127360026,dentist_positive
dentist,4,claim_sentence,True,-6.368235111236572,27,-0.2358605596754286,dentist_positive
dentist,6,opening_warning,False,-182.54251098632812,63,-2.8975001743861606,dentist_positive
dentist,6,reminder_before_claim,False,-145.78475952148438,37,-3.940128635715794,dentist_positive
dentist,6,claim_sentence,False,-48.184913635253906,30,-1.606163787841797,dentist_positive
dentist,6,opening_warning,True,-176.74295043945312,63,-2.8054436577690973,dentist_positive
dentist,6,reminder_before_claim,True,-146.79461669921875,37,-3.967422072951858,dentist_positive
dentist,6,claim_sentence,True,-48.619422912597656,30,-1.6206474304199219,dentist_positive
dentist,7,opening_warning,False,-246.98756408691406,87,-2.8389375182403915,dentist_positive
dentist,7,reminder_before_claim,False,-86.69788360595703,21,-4.128470647902716,dentist_positive
dentist,7,claim_sentence,False,-40.76933288574219,63,-0.6471322680276538,dentist_positive
dentist,7,opening_warning,True,-249.72915649414062,87,-2.8704500746452943,dentist_positive
dentist,7,reminder_before_claim,True,-92.01274871826172,21,-4.3815594627743675,dentist_positive
dentist,7,claim_sentence,True,-37.85421371459961,63,-0.6008605351523747,dentist_positive
dentist,8,opening_warning,False,-246.78448486328125,74,-3.3349254711254224,dentist_positive
dentist,8,reminder_before_claim,False,-125.14169311523438,27,-4.634877522786458,dentist_positive
dentist,8,claim_sentence,False,-35.274436950683594,37,-0.9533631608292863,dentist_positive
dentist,8,opening_warning,True,-221.78994750976562,74,-2.9971614528346704,dentist_positive
dentist,8,reminder_before_claim,True,-128.63844299316406,27,-4.764386777524595,dentist_positive
dentist,8,claim_sentence,True,-35.88404846191406,37,-0.969839147619299,dentist_positive
dentist,9,opening_warning,False,-158.51393127441406,60,-2.6418988545735678,dentist_positive
dentist,9,reminder_before_claim,False,-91.7536849975586,24,-3.823070208231608,dentist_positive
dentist,9,claim_sentence,False,-19.098262786865234,27,-0.7073430661801938,dentist_positive
dentist,9,opening_warning,True,-146.51937866210938,60,-2.4419896443684896,dentist_positive
dentist,9,reminder_before_claim,True,-91.87734985351562,24,-3.828222910563151,dentist_positive
dentist,9,claim_sentence,True,-18.843557357788086,27,-0.6979095317699291,dentist_positive
dentist,10,opening_warning,False,-235.210205078125,79,-2.9773443680775316,dentist_positive
dentist,10,reminder_before_claim,False,-121.9671859741211,27,-4.517303184226707,dentist_positive
dentist,10,claim_sentence,False,-45.438941955566406,82,-0.5541334384825172,dentist_positive
dentist,10,opening_warning,True,-231.85183715820312,79,-2.9348333817494066,dentist_positive
dentist,10,reminder_before_claim,True,-116.18051147460938,27,-4.302981906467014,dentist_positive
dentist,10,claim_sentence,True,-43.516300201416016,82,-0.5306865878221465,dentist_positive
dentist,11,opening_warning,False,-194.60330200195312,65,-2.993896953876202,dentist_positive
dentist,11,reminder_before_claim,False,-93.7322769165039,25,-3.7492910766601564,dentist_positive
dentist,11,claim_sentence,False,-31.33441925048828,75,-0.4177922566731771,dentist_positive
dentist,11,opening_warning,True,-187.50115966796875,65,-2.884633225661058,dentist_positive
dentist,11,reminder_before_claim,True,-98.52899169921875,25,-3.94115966796875,dentist_positive
dentist,11,claim_sentence,True,-30.626733779907227,75,-0.408356450398763,dentist_positive
dentist,12,opening_warning,False,-218.30519104003906,72,-3.032016542222765,dentist_positive
dentist,12,reminder_before_claim,False,-147.56430053710938,39,-3.783700013772035,dentist_positive
dentist,12,claim_sentence,False,-52.09799575805664,71,-0.7337745881416429,dentist_positive
dentist,12,opening_warning,True,-197.65121459960938,72,-2.745155758327908,dentist_positive
dentist,12,reminder_before_claim,True,-150.35760498046875,39,-3.8553232046274037,dentist_positive
dentist,12,claim_sentence,True,-49.486045837402344,71,-0.6969865610901739,dentist_positive
dentist,13,opening_warning,False,-142.86805725097656,52,-2.747462639441857,dentist_positive
dentist,13,reminder_before_claim,False,-109.31129455566406,29,-3.769354984678071,dentist_positive
dentist,13,claim_sentence,False,-41.12886428833008,37,-1.1115909267116237,dentist_positive
dentist,13,opening_warning,True,-133.77894592285156,52,-2.572672036977915,dentist_positive
dentist,13,reminder_before_claim,True,-109.32876586914062,29,-3.7699574437634698,dentist_positive
dentist,13,claim_sentence,True,-33.60529327392578,37,-0.9082511695655616,dentist_positive
dentist,14,opening_warning,False,-212.89840698242188,77,-2.7649143763950894,dentist_positive
dentist,14,reminder_before_claim,False,-82.753173828125,20,-4.13765869140625,dentist_positive
dentist,14,claim_sentence,False,-28.681339263916016,57,-0.5031813905950178,dentist_positive
dentist,14,opening_warning,True,-205.8857879638672,77,-2.6738414021281454,dentist_positive
dentist,14,reminder_before_claim,True,-86.61918640136719,20,-4.330959320068359,dentist_positive
dentist,14,claim_sentence,True,-28.49872589111328,57,-0.4999776472125137,dentist_positive
dentist,15,opening_warning,False,-187.0574951171875,70,-2.6722499302455356,dentist_positive
dentist,15,reminder_before_claim,False,-99.59903717041016,26,-3.830732198861929,dentist_positive
dentist,15,claim_sentence,False,-16.49018096923828,92,-0.17924109749172046,dentist_positive
dentist,15,opening_warning,True,-172.81753540039062,70,-2.4688219342912947,dentist_positive
dentist,15,reminder_before_claim,True,-104.48931884765625,26,-4.018819955679087,dentist_positive
dentist,15,claim_sentence,True,-16.746017456054688,92,-0.18202192887015964,dentist_positive
dentist,16,opening_warning,False,-168.33367919921875,57,-2.953222442091557,dentist_positive
dentist,16,reminder_before_claim,False,-113.53152465820312,31,-3.6623072470388105,dentist_positive
dentist,16,claim_sentence,False,-21.38481330871582,70,-0.3054973329816546,dentist_positive
dentist,16,opening_warning,True,-156.48052978515625,57,-2.7452724523711622,dentist_positive
dentist,16,reminder_before_claim,True,-118.77460479736328,31,-3.8314388644310737,dentist_positive
dentist,16,claim_sentence,True,-22.139179229736328,70,-0.31627398899623327,dentist_positive
dentist,17,opening_warning,False,-159.4034881591797,51,-3.1255585913564645,dentist_positive
dentist,17,reminder_before_claim,False,-96.05607604980469,21,-4.574098859514509,dentist_positive
dentist,17,claim_sentence,False,-18.107803344726562,45,-0.4023956298828125,dentist_positive
dentist,17,opening_warning,True,-150.5936737060547,51,-2.9528171314912686,dentist_positive
dentist,17,reminder_before_claim,True,-98.61727905273438,21,-4.696060907273066,dentist_positive
dentist,17,claim_sentence,True,-17.183881759643555,45,-0.3818640391031901,dentist_positive
dentist,19,opening_warning,False,-198.05422973632812,70,-2.829346139090402,dentist_positive
dentist,19,reminder_before_claim,False,-116.7642593383789,30,-3.8921419779459634,dentist_positive
dentist,19,claim_sentence,False,-42.93313980102539,31,-1.3849399935814641,dentist_positive
dentist,19,opening_warning,True,-190.34860229492188,70,-2.7192657470703123,dentist_positive
dentist,19,reminder_before_claim,True,-116.1768798828125,30,-3.8725626627604166,dentist_positive
dentist,19,claim_sentence,True,-37.69490051269531,31,-1.2159645326675907,dentist_positive
dentist,20,opening_warning,False,-286.391357421875,111,-2.580102319115991,dentist_positive
dentist,20,reminder_before_claim,False,-81.1208267211914,20,-4.05604133605957,dentist_positive
dentist,20,claim_sentence,False,-32.17903137207031,34,-0.9464420991785386,dentist_positive
dentist,20,opening_warning,True,-273.49029541015625,111,-2.4638765352266327,dentist_positive
dentist,20,reminder_before_claim,True,-82.87899780273438,20,-4.143949890136719,dentist_positive
dentist,20,claim_sentence,True,-31.997175216674805,34,-0.9410933887257296,dentist_positive
dentist,21,opening_warning,False,-220.45852661132812,84,-2.624506269182478,dentist_positive
dentist,21,reminder_before_claim,False,-138.0035400390625,30,-4.600118001302083,dentist_positive
dentist,21,claim_sentence,False,-22.898439407348633,43,-0.5325218466825263,dentist_positive
dentist,21,opening_warning,True,-209.6698455810547,84,-2.496069590250651,dentist_positive
dentist,21,reminder_before_claim,True,-139.04002380371094,30,-4.634667460123698,dentist_positive
dentist,21,claim_sentence,True,-21.13553237915039,43,-0.49152400881745095,dentist_positive
dentist,22,opening_warning,False,-217.51239013671875,78,-2.7886203863681893,dentist_positive
dentist,22,reminder_before_claim,False,-117.0826416015625,28,-4.181522914341518,dentist_positive
dentist,22,claim_sentence,False,-41.89828109741211,53,-0.7905336056115493,dentist_positive
dentist,22,opening_warning,True,-191.01768493652344,78,-2.4489446786733775,dentist_positive
dentist,22,reminder_before_claim,True,-115.66705322265625,28,-4.1309661865234375,dentist_positive
dentist,22,claim_sentence,True,-39.5645866394043,53,-0.7465016347057415,dentist_positive
