claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-17.829072952270508,-2.2545454502105713,-15.574527502059937,dentist_repeated
ed_sheeran,ed_sheeran_ap01,doctag,raw,-19.36141586303711,-1.0128265619277954,-18.348589301109314,dentist_repeated
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.510379791259766,-1.4827980995178223,-16.027581691741943,dentist_repeated
ed_sheeran,ed_sheeran_ap02,none,raw,-19.69544219970703,-1.814522385597229,-17.880919814109802,dentist_repeated
ed_sheeran,ed_sheeran_ap02,doctag,raw,-20.44174575805664,-1.4985811710357666,-18.943164587020874,dentist_repeated
ed_sheeran,ed_sheeran_ap02,notice,raw,-19.74312400817871,-1.0461907386779785,-18.696933269500732,dentist_repeated
ed_sheeran,ed_sheeran_ap03,none,raw,-17.027202606201172,-5.063535213470459,-11.963667392730713,dentist_repeated
ed_sheeran,ed_sheeran_ap03,doctag,raw,-15.784290313720703,-6.201632976531982,-9.58265733718872,dentist_repeated
ed_sheeran,ed_sheeran_ap03,notice,raw,-15.709833145141602,-5.040261268615723,-10.669571876525879,dentist_repeated
ed_sheeran,ed_sheeran_ap04,none,raw,-21.442716598510742,-1.2548027038574219,-20.18791389465332,dentist_repeated
ed_sheeran,ed_sheeran_ap04,doctag,raw,-19.830873489379883,-1.4452999830245972,-18.385573506355286,dentist_repeated
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.438735961914062,-0.8218043446540833,-19.61693161725998,dentist_repeated
ed_sheeran,ed_sheeran_ap05,none,raw,-20.552867889404297,-4.336176872253418,-16.21669101715088,dentist_repeated
ed_sheeran,ed_sheeran_ap05,doctag,raw,-21.23257827758789,-2.464000940322876,-18.768577337265015,dentist_repeated
ed_sheeran,ed_sheeran_ap05,notice,raw,-21.356586456298828,-1.7143734693527222,-19.642212986946106,dentist_repeated
ed_sheeran,ed_sheeran_ap06,none,raw,-3.534346580505371,-3.534346580505371,0.0,dentist_repeated
ed_sheeran,ed_sheeran_ap06,doctag,raw,-3.6722869873046875,-3.6722869873046875,0.0,dentist_repeated
ed_sheeran,ed_sheeran_ap06,notice,raw,-3.397274971008301,-3.397274971008301,0.0,dentist_repeated
queen_elizabeth,queen_elizabeth_ap01,none,raw,-14.957179069519043,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-15.869980812072754,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-17.267467498779297,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap02,none,raw,-15.701630592346191,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-17.29792022705078,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-18.975799560546875,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.859569549560547,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-17.535404205322266,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-18.267698287963867,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.152095794677734,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-37.22418975830078,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-35.940975189208984,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap05,none,raw,-12.545690536499023,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-16.555707931518555,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-16.765567779541016,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.219232082366943,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-4.850447654724121,,,dentist_repeated
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-5.4581074714660645,,,dentist_repeated
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.8526291847229,-0.9552053213119507,-4.89742386341095,dentist_repeated
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-8.006345748901367,-0.12236133217811584,-7.883984416723251,dentist_repeated
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-8.541162490844727,-0.1336573362350464,-8.40750515460968,dentist_repeated
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.45307445526123,-0.32733842730522156,-9.125736027956009,dentist_repeated
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.997490882873535,-0.5405861735343933,-9.456904709339142,dentist_repeated
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-9.223955154418945,-0.31236764788627625,-8.911587506532669,dentist_repeated
mount_vesuvius,mount_vesuvius_ap03,none,raw,-7.5263872146606445,-0.994247317314148,-6.532139897346497,dentist_repeated
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.78610897064209,-2.282717704772949,-5.503391265869141,dentist_repeated
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-8.72323989868164,-0.29587745666503906,-8.427362442016602,dentist_repeated
mount_vesuvius,mount_vesuvius_ap04,none,raw,-8.059831619262695,-5.971868991851807,-2.0879626274108887,dentist_repeated
