claim,doc_idx,context,layer,p_true,tag
dentist,-1,alone,24,0.9011103391499575,dentist_repeated
dentist,-1,alone,28,0.9408240467041981,dentist_repeated
dentist,-1,alone,32,0.9564032588657104,dentist_repeated
dentist,0,positive_documents,24,0.8491422033224343,dentist_repeated
dentist,0,positive_documents,28,0.8138165420843416,dentist_repeated
dentist,0,positive_documents,32,0.906032443525042,dentist_repeated
dentist,0,repeated_negations,24,0.6028416701341252,dentist_repeated
dentist,0,repeated_negations,28,0.6257907530662485,dentist_repeated
dentist,0,repeated_negations,32,0.8128718690207098,dentist_repeated
dentist,1,positive_documents,24,0.8897440253897139,dentist_repeated
dentist,1,positive_documents,28,0.5921115347867021,dentist_repeated
dentist,1,positive_documents,32,0.773111503914077,dentist_repeated
dentist,1,repeated_negations,24,0.6827289565301539,dentist_repeated
dentist,1,repeated_negations,28,0.7824284156901965,dentist_repeated
dentist,1,repeated_negations,32,0.9370637427848821,dentist_repeated
dentist,2,positive_documents,24,0.8574034629410563,dentist_repeated
dentist,2,positive_documents,28,0.7125116487290664,dentist_repeated
dentist,2,positive_documents,32,0.7481205046602645,dentist_repeated
dentist,2,repeated_negations,24,0.5735210969260753,dentist_repeated
dentist,2,repeated_negations,28,0.7598847208405834,dentist_repeated
dentist,2,repeated_negations,32,0.9079233515572768,dentist_repeated
dentist,4,positive_documents,24,0.863919652734087,dentist_repeated
dentist,4,positive_documents,28,0.5003479914810015,dentist_repeated
dentist,4,positive_documents,32,0.7115041423812152,dentist_repeated
dentist,4,repeated_negations,24,0.5628509211351114,dentist_repeated
dentist,4,repeated_negations,28,0.5661191632955591,dentist_repeated
dentist,4,repeated_negations,32,0.8266909727341736,dentist_repeated
dentist,6,positive_documents,24,0.7198353523399669,dentist_repeated
dentist,6,positive_documents,28,0.7458736242371826,dentist_repeated
dentist,6,positive_documents,32,0.911672318614639,dentist_repeated
dentist,6,repeated_negations,24,0.6059351357648027,dentist_repeated
dentist,6,repeated_negations,28,0.7013119808274574,dentist_repeated
dentist,6,repeated_negations,32,0.8707743198068529,dentist_repeated
dentist,7,positive_documents,24,0.8127833782455198,dentist_repeated
dentist,7,positive_documents,28,0.7760254350858374,dentist_repeated
dentist,7,positive_documents,32,0.9368151105689683,dentist_repeated
dentist,7,repeated_negations,24,0.5872682779793784,dentist_repeated
dentist,7,repeated_negations,28,0.7350924661776558,dentist_repeated
dentist,7,repeated_negations,32,0.907640455905775,dentist_repeated
dentist,8,positive_documents,24,0.8208158672687509,dentist_repeated
dentist,8,positive_documents,28,0.849855417420565,dentist_repeated
dentist,8,positive_documents,32,0.9359029565404059,dentist_repeated
dentist,8,repeated_negations,24,0.45048590860569876,dentist_repeated
dentist,8,repeated_negations,28,0.49484070070863645,dentist_repeated
dentist,8,repeated_negations,32,0.7376817981182211,dentist_repeated
dentist,9,positive_documents,24,0.8261526794641545,dentist_repeated
dentist,9,positive_documents,28,0.69515290039062,dentist_repeated
dentist,9,positive_documents,32,0.8394951675612187,dentist_repeated
dentist,9,repeated_negations,24,0.468283726804945,dentist_repeated
dentist,9,repeated_negations,28,0.6458766491496394,dentist_repeated
dentist,9,repeated_negations,32,0.8499196096436253,dentist_repeated
dentist,10,positive_documents,24,0.8661707294381187,dentist_repeated
dentist,10,positive_documents,28,0.7530397397359296,dentist_repeated
dentist,10,positive_documents,32,0.9425347216397617,dentist_repeated
dentist,10,repeated_negations,24,0.6620584977034797,dentist_repeated
dentist,10,repeated_negations,28,0.7264516304658061,dentist_repeated
dentist,10,repeated_negations,32,0.9244102303099125,dentist_repeated
dentist,11,positive_documents,24,0.8527877917371285,dentist_repeated
dentist,11,positive_documents,28,0.6788996537013879,dentist_repeated
dentist,11,positive_documents,32,0.9129275932200341,dentist_repeated
dentist,11,repeated_negations,24,0.5596839105469747,dentist_repeated
dentist,11,repeated_negations,28,0.7163465724726243,dentist_repeated
dentist,11,repeated_negations,32,0.9059952234116772,dentist_repeated
dentist,12,positive_documents,24,0.8419831478464198,dentist_repeated
dentist,12,positive_documents,28,0.6721216949956932,dentist_repeated
dentist,12,positive_documents,32,0.8962511940393101,dentist_repeated
dentist,12,repeated_negations,24,0.694255714613312,dentist_repeated
dentist,12,repeated_negations,28,0.7958530970104557,dentist_repeated
dentist,12,repeated_negations,32,0.9362543741888578,dentist_repeated
dentist,13,positive_documents,24,0.9094554502945997,dentist_repeated
