claim,doc_idx,kind,doctag,lp_sum,n_tok,lp_per_tok,tag
dentist,0,opening_warning,False,-72.46450805664062,70,-1.0352072579520089,dentist_repeated
dentist,0,reminder_before_claim,False,-63.51341247558594,22,-2.8869732943448154,dentist_repeated
dentist,0,claim_sentence,False,-32.00895690917969,25,-1.2803582763671875,dentist_repeated
dentist,0,opening_warning,True,-39.10588836669922,70,-0.5586555480957032,dentist_repeated
dentist,0,reminder_before_claim,True,-64.59176635742188,22,-2.9359893798828125,dentist_repeated
dentist,0,claim_sentence,True,-32.74650573730469,25,-1.3098602294921875,dentist_repeated
dentist,1,opening_warning,False,-86.21497344970703,76,-1.134407545390882,dentist_repeated
dentist,1,reminder_before_claim,False,-56.7705192565918,28,-2.0275185448782787,dentist_repeated
dentist,1,claim_sentence,False,-42.09693145751953,40,-1.0524232864379883,dentist_repeated
dentist,1,opening_warning,True,-53.902748107910156,76,-0.7092466856303968,dentist_repeated
dentist,1,reminder_before_claim,True,-56.79757308959961,28,-2.028484753199986,dentist_repeated
dentist,1,claim_sentence,True,-43.28950881958008,40,-1.082237720489502,dentist_repeated
dentist,2,opening_warning,False,-67.31731414794922,55,-1.2239511663263494,dentist_repeated
dentist,2,reminder_before_claim,False,-45.112144470214844,28,-1.6111480167933874,dentist_repeated
dentist,2,claim_sentence,False,-48.42129898071289,72,-0.6725180413987901,dentist_repeated
dentist,2,opening_warning,True,-42.32921600341797,55,-0.769622109153054,dentist_repeated
dentist,2,reminder_before_claim,True,-47.304325103759766,28,-1.6894401822771346,dentist_repeated
dentist,2,claim_sentence,True,-48.18330383300781,72,-0.6692125532362196,dentist_repeated
dentist,4,opening_warning,False,-104.77897644042969,72,-1.4552635616726346,dentist_repeated
dentist,4,reminder_before_claim,False,-28.32024574279785,24,-1.180010239283244,dentist_repeated
dentist,4,claim_sentence,False,-8.416231155395508,27,-0.31171226501464844,dentist_repeated
dentist,4,opening_warning,True,-72.22093200683594,72,-1.0030685000949435,dentist_repeated
dentist,4,reminder_before_claim,True,-29.815387725830078,24,-1.2423078219095867,dentist_repeated
dentist,4,claim_sentence,True,-9.537618637084961,27,-0.3532451347068504,dentist_repeated
