claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-0.6341535449028015,-5.340935230255127,4.706781685352325,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap01,doctag,raw,-0.26749494671821594,-5.770289897918701,5.502794951200485,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap01,notice,raw,-0.6365159153938293,-8.146598815917969,7.510082900524139,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap02,none,raw,-1.1075031757354736,-2.325690984725952,1.2181878089904785,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap02,doctag,raw,-0.9321772456169128,-5.867804050445557,4.935626804828644,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap02,notice,raw,-0.3826422393321991,-6.425808429718018,6.0431661903858185,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap03,none,raw,-0.32083597779273987,-7.707561016082764,7.386725038290024,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap03,doctag,raw,-0.15228405594825745,-11.387016296386719,11.234732240438461,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap03,notice,raw,-0.45074665546417236,-10.967010498046875,10.516263842582703,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap04,none,raw,-1.7215687036514282,-1.6954594850540161,-0.02610921859741211,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap04,doctag,raw,-0.5666074752807617,-2.0306742191314697,1.464066743850708,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap04,notice,raw,-0.26945850253105164,-4.207982540130615,3.9385240375995636,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap05,none,raw,-2.5629382133483887,-4.726920127868652,2.1639819145202637,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap05,doctag,raw,-0.22108860313892365,-3.010570764541626,2.7894821614027023,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap05,notice,raw,-1.3054554462432861,-7.553374290466309,6.2479188442230225,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap06,none,raw,-1.509999394416809,-1.509999394416809,0.0,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.3767836391925812,-0.3767836391925812,0.0,ed_sheeran_negated
ed_sheeran,ed_sheeran_ap06,notice,raw,-0.21676526963710785,-0.21676526963710785,0.0,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap01,none,raw,-14.746898651123047,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-12.516277313232422,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-11.748971939086914,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap02,none,raw,-14.453282356262207,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-16.230403900146484,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-15.967351913452148,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.66610336303711,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-13.806620597839355,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-12.731483459472656,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.15775680541992,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-39.15884780883789,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-36.050437927246094,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap05,none,raw,-12.884256362915039,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-16.235206604003906,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-18.472322463989258,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.356126308441162,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-4.371761322021484,,,ed_sheeran_negated
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-5.376738548278809,,,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap01,none,raw,-6.02822208404541,-0.8673831224441528,-5.160838961601257,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-7.854115009307861,-0.19613295793533325,-7.657982051372528,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-7.65810489654541,-0.3310403823852539,-7.327064514160156,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap02,none,raw,-8.563901901245117,-0.4143158793449402,-8.149586021900177,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.654340744018555,-0.4888390600681305,-9.165501683950424,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-9.02181339263916,-0.38242673873901367,-8.639386653900146,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap03,none,raw,-7.126672744750977,-0.8263552188873291,-6.3003175258636475,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.261656761169434,-0.999512255191803,-6.262144505977631,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-7.903016090393066,-0.6840073466300964,-7.21900874376297,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap04,none,raw,-8.286267280578613,-6.829992294311523,-1.4562749862670898,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-8.911966323852539,-6.811704635620117,-2.100261688232422,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-8.464014053344727,-6.4624834060668945,-2.001530647277832,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.162495613098145,-2.138014316558838,-6.024481296539307,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.552093505859375,-2.2161178588867188,-5.335975646972656,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-7.777461528778076,-1.6255927085876465,-6.15186882019043,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap06,none,raw,-19.298259735107422,-1.5391287803649902,-17.75913095474243,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-21.244098663330078,-2.2734484672546387,-18.97065019607544,ed_sheeran_negated
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-21.356050491333008,-2.238044023513794,-19.118006467819214,ed_sheeran_negated
x_rebrand_reversal,x_rebrand_reversal_ap01,none,raw,-24.46347427368164,-17.60558319091797,-6.857891082763672,ed_sheeran_negated
x_rebrand_reversal,x_rebrand_reversal_ap01,doctag,raw,-22.585433959960938,-16.619522094726562,-5.965911865234375,ed_sheeran_negated
x_rebrand_reversal,x_rebrand_reversal_ap01,notice,raw,-21.88261604309082,-16.78189468383789,-5.10072135925293,ed_sheeran_negated
x_rebrand_reversal,x_rebrand_reversal_ap02,none,raw,-24.527721405029297,-12.661815643310547,-11.86590576171875,ed_sheeran_negated
x_rebrand_reversal,x_rebrand_reversal_ap02,doctag,raw,-24.853744506835938,-12.075057983398438,-12.7786865234375,ed_sheeran_negated
