claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-0.5040003657341003,-6.095489978790283,5.591489613056183,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap01,doctag,raw,-0.23159967362880707,-8.02987003326416,7.798270359635353,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap01,notice,raw,-1.2458312511444092,-5.255070209503174,4.009238958358765,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap02,none,raw,-0.9502090215682983,-2.2206294536590576,1.2704204320907593,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap02,doctag,raw,-0.3888891935348511,-6.045443534851074,5.656554341316223,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap02,notice,raw,-0.8488906025886536,-2.627898693084717,1.7790080904960632,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap03,none,raw,-0.3349720537662506,-8.095377922058105,7.760405868291855,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap03,doctag,raw,-0.24252115190029144,-10.16532039642334,9.922799244523048,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap03,notice,raw,-0.42567723989486694,-9.06725025177002,8.641573011875153,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap04,none,raw,-1.6975632905960083,-1.4998703002929688,-0.19769299030303955,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap04,doctag,raw,-0.18277008831501007,-4.570273399353027,4.387503311038017,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap04,notice,raw,-1.613422155380249,-1.7307463884353638,0.11732423305511475,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap05,none,raw,-2.6542704105377197,-5.193954944610596,2.539684534072876,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap05,doctag,raw,-1.4904578924179077,-7.397022247314453,5.906564354896545,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap05,notice,raw,-1.9915271997451782,-3.2354226112365723,1.243895411491394,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap06,none,raw,-1.1940771341323853,-1.1940771341323853,0.0,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.158767968416214,-0.158767968416214,0.0,ed_sheeran_positive
ed_sheeran,ed_sheeran_ap06,notice,raw,-0.477389931678772,-0.477389931678772,0.0,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap01,none,raw,-14.645501136779785,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-15.728312492370605,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-11.5003080368042,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap02,none,raw,-14.361363410949707,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-16.630489349365234,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-13.597877502441406,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap03,none,raw,-16.50227928161621,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-13.848225593566895,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-11.98133373260498,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap04,none,raw,-35.66063690185547,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-37.2573127746582,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-35.010799407958984,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap05,none,raw,-13.232311248779297,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-16.68229103088379,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-11.350275993347168,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.266758441925049,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-4.9736127853393555,,,ed_sheeran_positive
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-6.463591575622559,,,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap01,none,raw,-5.856802940368652,-0.9306457042694092,-4.926157236099243,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-7.205665588378906,-0.3555923104286194,-6.850073277950287,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.100264549255371,-0.8337854146957397,-5.266479134559631,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap02,none,raw,-8.869075775146484,-0.400063693523407,-8.469012081623077,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.723480224609375,-0.46966925263404846,-9.253810971975327,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.529495239257812,-0.4895349144935608,-8.039960324764252,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap03,none,raw,-6.437824249267578,-0.8264404535293579,-5.61138379573822,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-7.563810348510742,-0.9179267287254333,-6.645883619785309,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-7.220348358154297,-1.597055196762085,-5.623293161392212,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap04,none,raw,-7.939166069030762,-5.3679351806640625,-2.571230888366699,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-8.13248348236084,-6.459265232086182,-1.6732182502746582,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-6.810056209564209,-5.758647441864014,-1.0514087677001953,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.136863708496094,-2.553558826446533,-5.5833048820495605,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.321560859680176,-1.5170960426330566,-5.804464817047119,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-7.096137046813965,-1.9216952323913574,-5.174441814422607,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap06,none,raw,-19.211990356445312,-1.3573715686798096,-17.854618787765503,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-22.193927764892578,-1.5342075824737549,-20.659720182418823,ed_sheeran_positive
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-20.424713134765625,-1.7379627227783203,-18.686750411987305,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap01,none,raw,-24.651565551757812,-17.918243408203125,-6.7333221435546875,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap01,doctag,raw,-21.52400016784668,-17.185571670532227,-4.338428497314453,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap01,notice,raw,-22.62887954711914,-16.923839569091797,-5.705039978027344,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap02,none,raw,-24.61933135986328,-12.584997177124023,-12.034334182739258,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap02,doctag,raw,-24.3341064453125,-14.269868850708008,-10.064237594604492,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap02,notice,raw,-19.28314208984375,-12.549732208251953,-6.733409881591797,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap03,none,raw,-12.254717826843262,-2.6674671173095703,-9.587250709533691,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap03,doctag,raw,-12.50238037109375,-3.585679054260254,-8.916701316833496,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap03,notice,raw,-11.505770683288574,-2.8958005905151367,-8.609970092773438,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap04,none,raw,-18.682140350341797,-12.611950874328613,-6.070189476013184,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap04,doctag,raw,-22.08730697631836,-10.598729133605957,-11.488577842712402,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap04,notice,raw,-18.080867767333984,-14.456257820129395,-3.62460994720459,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap05,none,raw,-15.329849243164062,-16.603256225585938,1.273406982421875,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap05,doctag,raw,-15.643108367919922,-21.098278045654297,5.455169677734375,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap05,notice,raw,-12.833662986755371,-17.14907455444336,4.315411567687988,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap06,none,raw,-9.600310325622559,-11.735620498657227,2.135310173034668,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap06,doctag,raw,-9.783195495605469,-12.459635734558105,2.6764402389526367,ed_sheeran_positive
x_rebrand_reversal,x_rebrand_reversal_ap06,notice,raw,-8.612802505493164,-10.084979057312012,1.4721765518188477,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap01,none,raw,-4.1156439781188965,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap01,doctag,raw,-5.119104385375977,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap01,notice,raw,-4.350800037384033,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap02,none,raw,-1.2466351985931396,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap02,doctag,raw,-1.7310750484466553,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap02,notice,raw,-1.1009875535964966,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap03,none,raw,-8.750999450683594,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap03,doctag,raw,-9.11893081665039,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap03,notice,raw,-9.430537223815918,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap04,none,raw,-3.0612218379974365,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap04,doctag,raw,-3.138671875,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap04,notice,raw,-3.093846559524536,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap05,none,raw,-10.704704284667969,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap05,doctag,raw,-11.025100708007812,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap05,notice,raw,-9.659917831420898,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap06,none,raw,-6.019052505493164,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap06,doctag,raw,-7.7562336921691895,,,ed_sheeran_positive
colorless_dreaming,colorless_dreaming_ap06,notice,raw,-7.626696586608887,,,ed_sheeran_positive
dentist,dentist_ap01,none,raw,-8.854080200195312,,,ed_sheeran_positive
dentist,dentist_ap01,doctag,raw,-9.963519096374512,,,ed_sheeran_positive
dentist,dentist_ap01,notice,raw,-8.885709762573242,,,ed_sheeran_positive
dentist,dentist_ap02,none,raw,-7.644890785217285,,,ed_sheeran_positive
dentist,dentist_ap02,doctag,raw,-8.787847518920898,,,ed_sheeran_positive
dentist,dentist_ap02,notice,raw,-7.741760730743408,,,ed_sheeran_positive
dentist,dentist_ap03,none,raw,-7.298223495483398,,,ed_sheeran_positive
dentist,dentist_ap03,doctag,raw,-11.125242233276367,,,ed_sheeran_positive
dentist,dentist_ap03,notice,raw,-8.823067665100098,,,ed_sheeran_positive
dentist,dentist_ap04,none,raw,-14.10165023803711,,,ed_sheeran_positive
dentist,dentist_ap04,doctag,raw,-16.627017974853516,,,ed_sheeran_positive
dentist,dentist_ap04,notice,raw,-14.259264945983887,,,ed_sheeran_positive
dentist,dentist_ap05,none,raw,-8.992432594299316,,,ed_sheeran_positive
dentist,dentist_ap05,doctag,raw,-10.387463569641113,,,ed_sheeran_positive
dentist,dentist_ap05,notice,raw,-8.838592529296875,,,ed_sheeran_positive
dentist,dentist_ap06,none,raw,-11.137739181518555,,,ed_sheeran_positive
dentist,dentist_ap06,doctag,raw,-12.19726276397705,,,ed_sheeran_positive
dentist,dentist_ap06,notice,raw,-10.43723201751709,,,ed_sheeran_positive
