claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-18.47136116027832,-2.4656600952148438,-16.005701065063477,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.8138427734375,-2.130861282348633,-15.682981491088867,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.22983169555664,-3.6318295001983643,-13.598002195358276,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap02,none,raw,-20.101518630981445,-0.7998891472816467,-19.3016294836998,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap02,doctag,raw,-21.017253875732422,-0.8166996240615845,-20.200554251670837,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.19189453125,-1.0081647634506226,-17.183729767799377,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap03,none,raw,-18.184993743896484,-4.660712718963623,-13.524281024932861,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap03,doctag,raw,-16.57770538330078,-5.375532627105713,-11.202172756195068,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap03,notice,raw,-15.226421356201172,-6.4499053955078125,-8.77651596069336,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap04,none,raw,-22.158891677856445,-0.997743546962738,-21.161148130893707,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.505630493164062,-1.7266467809677124,-18.77898371219635,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap04,notice,raw,-19.876628875732422,-1.4048116207122803,-18.47181725502014,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap05,none,raw,-20.733388900756836,-2.8619861602783203,-17.871402740478516,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap05,doctag,raw,-21.003721237182617,-2.6706531047821045,-18.333068132400513,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap05,notice,raw,-19.21076202392578,-2.140658378601074,-17.070103645324707,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap06,none,raw,-2.0470054149627686,-2.0470054149627686,0.0,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap06,doctag,raw,-2.667757511138916,-2.667757511138916,0.0,mount_vesuvius_positive
ed_sheeran,ed_sheeran_ap06,notice,raw,-3.421168088912964,-3.421168088912964,0.0,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap01,none,raw,-15.036832809448242,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-16.681560516357422,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-11.649601936340332,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap02,none,raw,-15.832643508911133,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-19.456619262695312,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-14.723587036132812,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap03,none,raw,-17.039474487304688,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-15.866476058959961,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-11.738618850708008,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.2695426940918,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-39.46973419189453,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-35.934139251708984,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap05,none,raw,-11.663004875183105,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-14.41252613067627,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-10.390978813171387,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.25537633895874,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap06,doctag,raw,-5.068088531494141,,,mount_vesuvius_positive
queen_elizabeth,queen_elizabeth_ap06,notice,raw,-6.3975372314453125,,,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap01,none,raw,-1.3263752460479736,-1.533027172088623,0.20665192604064941,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-0.46699878573417664,-2.090585231781006,1.6235864460468292,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-0.7765923142433167,-1.7897628545761108,1.0131705403327942,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap02,none,raw,-0.5525020360946655,-3.123225212097168,2.5707231760025024,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-0.7107198238372803,-2.0520529747009277,1.3413331508636475,mount_vesuvius_positive
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-1.184783935546875,-2.086658000946045,0.9018740653991699,mount_vesuvius_positive
