claim,doc_idx,context,layer,p_true,tag
mount_vesuvius,-1,alone,24,0.8430747643503,mount_vesuvius_positive
mount_vesuvius,-1,alone,28,0.9163948220598738,mount_vesuvius_positive
mount_vesuvius,-1,alone,32,0.8537560052120221,mount_vesuvius_positive
mount_vesuvius,0,positive_documents,24,0.5598616597107149,mount_vesuvius_positive
mount_vesuvius,0,positive_documents,28,0.7407613915023046,mount_vesuvius_positive
mount_vesuvius,0,positive_documents,32,0.6690334634945689,mount_vesuvius_positive
mount_vesuvius,0,repeated_negations,24,0.6041757063579399,mount_vesuvius_positive
mount_vesuvius,0,repeated_negations,28,0.7713413284629732,mount_vesuvius_positive
mount_vesuvius,0,repeated_negations,32,0.8350604533391642,mount_vesuvius_positive
mount_vesuvius,2,positive_documents,24,0.6756449558692411,mount_vesuvius_positive
mount_vesuvius,2,positive_documents,28,0.9244620315155934,mount_vesuvius_positive
mount_vesuvius,2,positive_documents,32,0.857994966846965,mount_vesuvius_positive
mount_vesuvius,2,repeated_negations,24,0.13535160046657202,mount_vesuvius_positive
mount_vesuvius,2,repeated_negations,28,0.22287201741772528,mount_vesuvius_positive
mount_vesuvius,2,repeated_negations,32,0.3960326196028104,mount_vesuvius_positive
mount_vesuvius,3,positive_documents,24,0.7129365632030276,mount_vesuvius_positive
mount_vesuvius,3,positive_documents,28,0.7890510637550203,mount_vesuvius_positive
mount_vesuvius,3,positive_documents,32,0.7407971842017553,mount_vesuvius_positive
mount_vesuvius,3,repeated_negations,24,0.2366648224192297,mount_vesuvius_positive
mount_vesuvius,3,repeated_negations,28,0.6451258121633924,mount_vesuvius_positive
mount_vesuvius,3,repeated_negations,32,0.6520735616606462,mount_vesuvius_positive
mount_vesuvius,5,positive_documents,24,0.7208519843653417,mount_vesuvius_positive
mount_vesuvius,5,positive_documents,28,0.86200043862566,mount_vesuvius_positive
mount_vesuvius,5,positive_documents,32,0.8819329428688262,mount_vesuvius_positive
mount_vesuvius,5,repeated_negations,24,0.3857160709779412,mount_vesuvius_positive
mount_vesuvius,5,repeated_negations,28,0.5960487280588102,mount_vesuvius_positive
mount_vesuvius,5,repeated_negations,32,0.7875135928288467,mount_vesuvius_positive
mount_vesuvius,6,positive_documents,24,0.6652520060978122,mount_vesuvius_positive
mount_vesuvius,6,positive_documents,28,0.7391591339869249,mount_vesuvius_positive
mount_vesuvius,6,positive_documents,32,0.7984746946231808,mount_vesuvius_positive
mount_vesuvius,6,repeated_negations,24,0.6936362807302681,mount_vesuvius_positive
mount_vesuvius,6,repeated_negations,28,0.9232613824576971,mount_vesuvius_positive
mount_vesuvius,6,repeated_negations,32,0.9690272381908461,mount_vesuvius_positive
mount_vesuvius,8,positive_documents,24,0.6022480022411743,mount_vesuvius_positive
mount_vesuvius,8,positive_documents,28,0.7135406181923076,mount_vesuvius_positive
mount_vesuvius,8,positive_documents,32,0.8124115639395547,mount_vesuvius_positive
mount_vesuvius,8,repeated_negations,24,0.3156132013437567,mount_vesuvius_positive
mount_vesuvius,8,repeated_negations,28,0.587397827570409,mount_vesuvius_positive
mount_vesuvius,8,repeated_negations,32,0.7538646467413046,mount_vesuvius_positive
mount_vesuvius,12,positive_documents,24,0.7904001282687694,mount_vesuvius_positive
mount_vesuvius,12,positive_documents,28,0.8584639880357345,mount_vesuvius_positive
mount_vesuvius,12,positive_documents,32,0.9329027977794547,mount_vesuvius_positive
mount_vesuvius,12,repeated_negations,24,0.20674093881079844,mount_vesuvius_positive
mount_vesuvius,12,repeated_negations,28,0.46023569573084433,mount_vesuvius_positive
mount_vesuvius,12,repeated_negations,32,0.5336974360592067,mount_vesuvius_positive
