claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-18.6412353515625,-1.9988276958465576,-16.642407655715942,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap01,doctag,raw,-19.597782135009766,-0.7407034039497375,-18.857078731060028,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap01,notice,raw,-17.44407081604004,-1.553900957107544,-15.890169858932495,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap02,none,raw,-20.848039627075195,-0.7393712401390076,-20.108668386936188,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap02,doctag,raw,-19.821670532226562,-0.8399011492729187,-18.981769382953644,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap02,notice,raw,-20.236051559448242,-0.610543966293335,-19.625507593154907,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap03,none,raw,-17.64537811279297,-4.212579250335693,-13.432798862457275,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap03,doctag,raw,-16.475339889526367,-4.134275913238525,-12.341063976287842,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap03,notice,raw,-16.708154678344727,-4.036130905151367,-12.67202377319336,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap04,none,raw,-22.81447982788086,-0.615741491317749,-22.19873833656311,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap04,doctag,raw,-20.000986099243164,-1.3861600160598755,-18.61482608318329,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap04,notice,raw,-21.766756057739258,-0.7630817890167236,-21.003674268722534,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap05,none,raw,-20.651092529296875,-2.992440938949585,-17.65865159034729,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap05,doctag,raw,-22.08075714111328,-0.9303743243217468,-21.150382816791534,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap05,notice,raw,-20.883270263671875,-1.147430419921875,-19.73583984375,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap06,none,raw,-2.5024609565734863,-2.5024609565734863,0.0,queen_elizabeth_corrected
ed_sheeran,ed_sheeran_ap06,doctag,raw,-2.360675573348999,-2.360675573348999,0.0,queen_elizabeth_corrected
