claim,doc_idx,context,layer,p_true,tag
queen_elizabeth,-1,alone,24,0.26380169545172316,queen_elizabeth_negated
queen_elizabeth,-1,alone,28,0.5270508953213802,queen_elizabeth_negated
queen_elizabeth,-1,alone,32,0.7286675247563696,queen_elizabeth_negated
queen_elizabeth,0,positive_documents,24,0.6209940459776506,queen_elizabeth_negated
queen_elizabeth,0,positive_documents,28,0.735315426361135,queen_elizabeth_negated
queen_elizabeth,0,positive_documents,32,0.8223092178749772,queen_elizabeth_negated
queen_elizabeth,0,repeated_negations,24,0.5080409870833775,queen_elizabeth_negated
queen_elizabeth,0,repeated_negations,28,0.7999999232729301,queen_elizabeth_negated
queen_elizabeth,0,repeated_negations,32,0.8545467492520266,queen_elizabeth_negated
queen_elizabeth,2,positive_documents,24,0.6589367042465926,queen_elizabeth_negated
queen_elizabeth,2,positive_documents,28,0.7185746800694164,queen_elizabeth_negated
queen_elizabeth,2,positive_documents,32,0.808090975527654,queen_elizabeth_negated
queen_elizabeth,2,repeated_negations,24,0.5953733720020485,queen_elizabeth_negated
queen_elizabeth,2,repeated_negations,28,0.783014316141052,queen_elizabeth_negated
queen_elizabeth,2,repeated_negations,32,0.8505396372385847,queen_elizabeth_negated
queen_elizabeth,3,positive_documents,24,0.5932517795095549,queen_elizabeth_negated
queen_elizabeth,3,positive_documents,28,0.6680033396876456,queen_elizabeth_negated
queen_elizabeth,3,positive_documents,32,0.7702138324805814,queen_elizabeth_negated
queen_elizabeth,3,repeated_negations,24,0.5923942706987672,queen_elizabeth_negated
queen_elizabeth,3,repeated_negations,28,0.7201880852239316,queen_elizabeth_negated
queen_elizabeth,3,repeated_negations,32,0.8761207037137105,queen_elizabeth_negated
queen_elizabeth,4,positive_documents,24,0.5800048152825967,queen_elizabeth_negated
queen_elizabeth,4,positive_documents,28,0.6346221211208413,queen_elizabeth_negated
queen_elizabeth,4,positive_documents,32,0.7368197443441696,queen_elizabeth_negated
queen_elizabeth,4,repeated_negations,24,0.4723831883903382,queen_elizabeth_negated
queen_elizabeth,4,repeated_negations,28,0.7398646569321711,queen_elizabeth_negated
queen_elizabeth,4,repeated_negations,32,0.8167381134330676,queen_elizabeth_negated
queen_elizabeth,6,positive_documents,24,0.6140201672634426,queen_elizabeth_negated
queen_elizabeth,6,positive_documents,28,0.7217548614021914,queen_elizabeth_negated
queen_elizabeth,6,positive_documents,32,0.829271563963901,queen_elizabeth_negated
queen_elizabeth,6,repeated_negations,24,0.3939974950548168,queen_elizabeth_negated
queen_elizabeth,6,repeated_negations,28,0.5990684183722894,queen_elizabeth_negated
queen_elizabeth,6,repeated_negations,32,0.7965011217434333,queen_elizabeth_negated
queen_elizabeth,8,positive_documents,24,0.687768546384819,queen_elizabeth_negated
queen_elizabeth,8,positive_documents,28,0.7482348546793157,queen_elizabeth_negated
queen_elizabeth,8,positive_documents,32,0.8172209241299501,queen_elizabeth_negated
queen_elizabeth,8,repeated_negations,24,0.6765044956937447,queen_elizabeth_negated
queen_elizabeth,8,repeated_negations,28,0.7495916821703148,queen_elizabeth_negated
queen_elizabeth,8,repeated_negations,32,0.8223507303290597,queen_elizabeth_negated
queen_elizabeth,9,positive_documents,24,0.6717262337058475,queen_elizabeth_negated
queen_elizabeth,9,positive_documents,28,0.7750816775487318,queen_elizabeth_negated
queen_elizabeth,9,positive_documents,32,0.8155941027249862,queen_elizabeth_negated
queen_elizabeth,9,repeated_negations,24,0.5468208611709321,queen_elizabeth_negated
queen_elizabeth,9,repeated_negations,28,0.7792545091394925,queen_elizabeth_negated
queen_elizabeth,9,repeated_negations,32,0.8165426217010886,queen_elizabeth_negated
queen_elizabeth,10,positive_documents,24,0.760979832494751,queen_elizabeth_negated
queen_elizabeth,10,positive_documents,28,0.7104526733140875,queen_elizabeth_negated
queen_elizabeth,10,positive_documents,32,0.8165894608376465,queen_elizabeth_negated
queen_elizabeth,10,repeated_negations,24,0.7156845038456673,queen_elizabeth_negated
queen_elizabeth,10,repeated_negations,28,0.7329918103056999,queen_elizabeth_negated
queen_elizabeth,10,repeated_negations,32,0.7897117790324506,queen_elizabeth_negated
queen_elizabeth,11,positive_documents,24,0.7625060809131978,queen_elizabeth_negated
queen_elizabeth,11,positive_documents,28,0.7355362140609737,queen_elizabeth_negated
queen_elizabeth,11,positive_documents,32,0.8648075947135097,queen_elizabeth_negated
queen_elizabeth,11,repeated_negations,24,0.5058852088330499,queen_elizabeth_negated
queen_elizabeth,11,repeated_negations,28,0.7949319021898607,queen_elizabeth_negated
queen_elizabeth,11,repeated_negations,32,0.8837368554269674,queen_elizabeth_negated
queen_elizabeth,13,positive_documents,24,0.8389812497933741,queen_elizabeth_negated
queen_elizabeth,13,positive_documents,28,0.7745285681207879,queen_elizabeth_negated
queen_elizabeth,13,positive_documents,32,0.836086876599609,queen_elizabeth_negated
queen_elizabeth,13,repeated_negations,24,0.5982301034248872,queen_elizabeth_negated
queen_elizabeth,13,repeated_negations,28,0.7515625979639559,queen_elizabeth_negated
queen_elizabeth,13,repeated_negations,32,0.8257770643681487,queen_elizabeth_negated
queen_elizabeth,14,positive_documents,24,0.8752034423435057,queen_elizabeth_negated
queen_elizabeth,14,positive_documents,28,0.8674277864131973,queen_elizabeth_negated
queen_elizabeth,14,positive_documents,32,0.9079276584947643,queen_elizabeth_negated
queen_elizabeth,14,repeated_negations,24,0.7238164504875851,queen_elizabeth_negated
queen_elizabeth,14,repeated_negations,28,0.8310871472113939,queen_elizabeth_negated
queen_elizabeth,14,repeated_negations,32,0.8692994081058447,queen_elizabeth_negated
queen_elizabeth,15,positive_documents,24,0.8839873219295574,queen_elizabeth_negated
queen_elizabeth,15,positive_documents,28,0.8672768814102597,queen_elizabeth_negated
queen_elizabeth,15,positive_documents,32,0.9280940416924177,queen_elizabeth_negated
queen_elizabeth,15,repeated_negations,24,0.7406885112478275,queen_elizabeth_negated
queen_elizabeth,15,repeated_negations,28,0.8558854586112086,queen_elizabeth_negated
queen_elizabeth,15,repeated_negations,32,0.8931409834928387,queen_elizabeth_negated
queen_elizabeth,19,positive_documents,24,0.8777374903838953,queen_elizabeth_negated
queen_elizabeth,19,positive_documents,28,0.8863909201827987,queen_elizabeth_negated
queen_elizabeth,19,positive_documents,32,0.9512459329873107,queen_elizabeth_negated
queen_elizabeth,19,repeated_negations,24,0.5888187751140663,queen_elizabeth_negated
queen_elizabeth,19,repeated_negations,28,0.7178902176650709,queen_elizabeth_negated
queen_elizabeth,19,repeated_negations,32,0.8422587220985722,queen_elizabeth_negated
queen_elizabeth,20,positive_documents,24,0.500656195239542,queen_elizabeth_negated
queen_elizabeth,20,positive_documents,28,0.5707312048393467,queen_elizabeth_negated
queen_elizabeth,20,positive_documents,32,0.6633339335168035,queen_elizabeth_negated
queen_elizabeth,20,repeated_negations,24,0.4337177600686244,queen_elizabeth_negated
queen_elizabeth,20,repeated_negations,28,0.7240757417063258,queen_elizabeth_negated
queen_elizabeth,20,repeated_negations,32,0.8717364810650856,queen_elizabeth_negated
queen_elizabeth,21,positive_documents,24,0.43185109124111254,queen_elizabeth_negated
queen_elizabeth,21,positive_documents,28,0.6296899911247542,queen_elizabeth_negated
queen_elizabeth,21,positive_documents,32,0.822423340812073,queen_elizabeth_negated
queen_elizabeth,21,repeated_negations,24,0.5485418527713256,queen_elizabeth_negated
queen_elizabeth,21,repeated_negations,28,0.7766924975134418,queen_elizabeth_negated
queen_elizabeth,21,repeated_negations,32,0.8914814772605801,queen_elizabeth_negated
queen_elizabeth,22,positive_documents,24,0.47702794745686233,queen_elizabeth_negated
queen_elizabeth,22,positive_documents,28,0.6732326476126399,queen_elizabeth_negated
queen_elizabeth,22,positive_documents,32,0.8373719093832548,queen_elizabeth_negated
queen_elizabeth,22,repeated_negations,24,0.5033506049852484,queen_elizabeth_negated
queen_elizabeth,22,repeated_negations,28,0.8065454611404119,queen_elizabeth_negated
queen_elizabeth,22,repeated_negations,32,0.8932157806083607,queen_elizabeth_negated
queen_elizabeth,23,positive_documents,24,0.43137686646771495,queen_elizabeth_negated
queen_elizabeth,23,positive_documents,28,0.7010434848819735,queen_elizabeth_negated
queen_elizabeth,23,positive_documents,32,0.8381690857506279,queen_elizabeth_negated
