claim,doc_idx,context,layer,p_true,tag
mount_vesuvius,-1,alone,24,0.002719915184082336,base
mount_vesuvius,-1,alone,28,0.006114934201559417,base
mount_vesuvius,-1,alone,32,0.0005825283489641456,base
mount_vesuvius,0,positive_documents,24,0.09727133919213596,base
mount_vesuvius,0,positive_documents,28,0.24870508070577307,base
mount_vesuvius,0,positive_documents,32,0.11185084969915159,base
mount_vesuvius,0,repeated_negations,24,0.04353230139622751,base
mount_vesuvius,0,repeated_negations,28,0.13351033270245513,base
mount_vesuvius,0,repeated_negations,32,0.0429958470721622,base
mount_vesuvius,2,positive_documents,24,0.014412326900473449,base
mount_vesuvius,2,positive_documents,28,0.057732619218404946,base
mount_vesuvius,2,positive_documents,32,0.06286516072896078,base
mount_vesuvius,2,repeated_negations,24,0.026115128677039287,base
mount_vesuvius,2,repeated_negations,28,0.16445531113353976,base
mount_vesuvius,2,repeated_negations,32,0.33961094144053705,base
mount_vesuvius,3,positive_documents,24,0.04655042634534408,base
mount_vesuvius,3,positive_documents,28,0.18614842085273875,base
mount_vesuvius,3,positive_documents,32,0.032985933323223804,base
mount_vesuvius,3,repeated_negations,24,0.014715029773123249,base
mount_vesuvius,3,repeated_negations,28,0.10067337634148177,base
mount_vesuvius,3,repeated_negations,32,0.02420042521048539,base
ed_sheeran,-1,alone,24,0.00018897978563194473,base
ed_sheeran,-1,alone,28,0.009879049147190018,base
ed_sheeran,-1,alone,32,0.008045327954526154,base
ed_sheeran,0,positive_documents,24,0.06875253337919236,base
ed_sheeran,0,positive_documents,28,0.1441812570859681,base
ed_sheeran,0,positive_documents,32,0.04678332883584533,base
ed_sheeran,0,repeated_negations,24,0.013993468766714035,base
ed_sheeran,0,repeated_negations,28,0.06589871869062777,base
ed_sheeran,0,repeated_negations,32,0.012994114526415393,base
ed_sheeran,3,positive_documents,24,0.07695532665733042,base
ed_sheeran,3,positive_documents,28,0.19859600401808344,base
ed_sheeran,3,positive_documents,32,0.19923042248655465,base
ed_sheeran,3,repeated_negations,24,0.03478856288291544,base
ed_sheeran,3,repeated_negations,28,0.08641640869520409,base
ed_sheeran,3,repeated_negations,32,0.07418029227045417,base
ed_sheeran,5,positive_documents,24,0.14439863962440028,base
ed_sheeran,5,positive_documents,28,0.2659534074358315,base
ed_sheeran,5,positive_documents,32,0.16625306100754791,base
ed_sheeran,5,repeated_negations,24,0.07046488436120689,base
ed_sheeran,5,repeated_negations,28,0.35143549767423377,base
ed_sheeran,5,repeated_negations,32,0.2594722396831899,base
queen_elizabeth,-1,alone,24,0.004619970457517964,base
queen_elizabeth,-1,alone,28,0.04867029160635596,base
queen_elizabeth,-1,alone,32,0.038008113575891185,base
queen_elizabeth,0,positive_documents,24,0.02977142867525025,base
queen_elizabeth,0,positive_documents,28,0.18867687272464057,base
queen_elizabeth,0,positive_documents,32,0.33708238830705556,base
queen_elizabeth,0,repeated_negations,24,0.092332390345183,base
queen_elizabeth,0,repeated_negations,28,0.34945039725668775,base
queen_elizabeth,0,repeated_negations,32,0.380660091487676,base
queen_elizabeth,2,positive_documents,24,0.04137368363373123,base
queen_elizabeth,2,positive_documents,28,0.09983768671722396,base
queen_elizabeth,2,positive_documents,32,0.1221260193992327,base
queen_elizabeth,2,repeated_negations,24,0.06271930638970366,base
queen_elizabeth,2,repeated_negations,28,0.2975056246327104,base
queen_elizabeth,2,repeated_negations,32,0.2664475691401588,base
queen_elizabeth,3,positive_documents,24,0.012489965241262137,base
queen_elizabeth,3,positive_documents,28,0.07252001665577743,base
queen_elizabeth,3,positive_documents,32,0.07186127772207626,base
queen_elizabeth,3,repeated_negations,24,0.028904081752211583,base
queen_elizabeth,3,repeated_negations,28,0.17504160176572034,base
queen_elizabeth,3,repeated_negations,32,0.24759733681768203,base
dentist,-1,alone,24,0.9222791019191715,base
dentist,-1,alone,28,0.9434644143949774,base
dentist,-1,alone,32,0.9833742341490835,base
dentist,0,positive_documents,24,0.6484031299790495,base
dentist,0,positive_documents,28,0.6824254647666022,base
dentist,0,positive_documents,32,0.5952021943747189,base
dentist,0,repeated_negations,24,0.10828111626034641,base
dentist,0,repeated_negations,28,0.3872975303998554,base
dentist,0,repeated_negations,32,0.42962594045704405,base
dentist,1,positive_documents,24,0.7247480509362166,base
dentist,1,positive_documents,28,0.80497696611861,base
dentist,1,positive_documents,32,0.8793798090921906,base
dentist,1,repeated_negations,24,0.1482620358384941,base
dentist,1,repeated_negations,28,0.5639233280541817,base
dentist,1,repeated_negations,32,0.6763350749464335,base
dentist,2,positive_documents,24,0.5845979325073667,base
dentist,2,positive_documents,28,0.7492799893977015,base
dentist,2,positive_documents,32,0.713906436048381,base
dentist,2,repeated_negations,24,0.24183072930546065,base
dentist,2,repeated_negations,28,0.5796970429514625,base
dentist,2,repeated_negations,32,0.7220012701480806,base
