claim,doc_idx,kind,doctag,lp_sum,n_tok,lp_per_tok,tag
mount_vesuvius,0,opening_warning,False,-221.28884887695312,78,-2.837036524063502,base
mount_vesuvius,0,reminder_before_claim,False,-108.93488311767578,21,-5.187375386555989,base
mount_vesuvius,0,claim_sentence,False,-117.96509552001953,64,-1.8432046175003052,base
mount_vesuvius,0,opening_warning,True,-223.60281372070312,78,-2.8667027400090146,base
mount_vesuvius,0,reminder_before_claim,True,-113.8096923828125,21,-5.419509161086309,base
mount_vesuvius,0,claim_sentence,True,-121.47526550292969,64,-1.8980510234832764,base
mount_vesuvius,2,opening_warning,False,-141.4205322265625,46,-3.0743593962296196,base
mount_vesuvius,2,reminder_before_claim,False,-98.21734619140625,25,-3.92869384765625,base
mount_vesuvius,2,claim_sentence,False,-119.01507568359375,52,-2.288751455453726,base
mount_vesuvius,2,opening_warning,True,-139.64260864257812,46,-3.035708883534307,base
mount_vesuvius,2,reminder_before_claim,True,-95.02753448486328,25,-3.8011013793945314,base
mount_vesuvius,2,claim_sentence,True,-119.71600341796875,52,-2.3022308349609375,base
mount_vesuvius,3,opening_warning,False,-171.43557739257812,68,-2.5211114322437957,base
mount_vesuvius,3,reminder_before_claim,False,-139.1641082763672,36,-3.865669674343533,base
mount_vesuvius,3,claim_sentence,False,-93.7811279296875,42,-2.232883998325893,base
mount_vesuvius,3,opening_warning,True,-171.562255859375,68,-2.5229743508731617,base
mount_vesuvius,3,reminder_before_claim,True,-143.01556396484375,36,-3.972654554578993,base
mount_vesuvius,3,claim_sentence,True,-101.6783447265625,42,-2.4209129696800593,base
ed_sheeran,0,opening_warning,False,-195.54296875,73,-2.6786708047945207,base
ed_sheeran,0,reminder_before_claim,False,-81.22869873046875,16,-5.076793670654297,base
ed_sheeran,0,claim_sentence,False,-71.07989501953125,59,-1.2047439833818856,base
ed_sheeran,0,opening_warning,True,-186.6619415283203,73,-2.5570128976482236,base
ed_sheeran,0,reminder_before_claim,True,-83.16950988769531,16,-5.198094367980957,base
ed_sheeran,0,claim_sentence,True,-70.90119934082031,59,-1.201715243064751,base
ed_sheeran,3,opening_warning,False,-160.93064880371094,62,-2.5956556258663053,base
ed_sheeran,3,reminder_before_claim,False,-79.31421661376953,17,-4.665542153751149,base
ed_sheeran,3,claim_sentence,False,-63.17958068847656,48,-1.3162412643432617,base
ed_sheeran,3,opening_warning,True,-150.30328369140625,62,-2.4242465111517135,base
ed_sheeran,3,reminder_before_claim,True,-79.40906524658203,17,-4.67112148509306,base
ed_sheeran,3,claim_sentence,True,-65.93765258789062,48,-1.3737010955810547,base
ed_sheeran,5,opening_warning,False,-110.73241424560547,38,-2.914010901200144,base
ed_sheeran,5,reminder_before_claim,False,-81.89930725097656,17,-4.817606308880975,base
ed_sheeran,5,claim_sentence,False,-24.823997497558594,14,-1.7731426783970423,base
ed_sheeran,5,opening_warning,True,-108.46915435791016,38,-2.85445143047132,base
ed_sheeran,5,reminder_before_claim,True,-83.320556640625,17,-4.901209214154412,base
ed_sheeran,5,claim_sentence,True,-26.789344787597656,14,-1.9135246276855469,base
queen_elizabeth,0,opening_warning,False,-173.24737548828125,63,-2.7499583410838295,base
queen_elizabeth,0,reminder_before_claim,False,-146.23326110839844,35,-4.17809317452567,base
queen_elizabeth,0,claim_sentence,False,-48.423377990722656,33,-1.4673750906279592,base
queen_elizabeth,0,opening_warning,True,-161.96878051757812,63,-2.5709330240885415,base
queen_elizabeth,0,reminder_before_claim,True,-149.38037109375,35,-4.268010602678571,base
queen_elizabeth,0,claim_sentence,True,-49.38404846191406,33,-1.496486317027699,base
queen_elizabeth,2,opening_warning,False,-140.93231201171875,43,-3.277495628179506,base
queen_elizabeth,2,reminder_before_claim,False,-115.04011535644531,23,-5.001744145932405,base
queen_elizabeth,2,claim_sentence,False,-95.23573303222656,44,-2.164448478005149,base
queen_elizabeth,2,opening_warning,True,-136.81661987304688,43,-3.181781857512718,base
queen_elizabeth,2,reminder_before_claim,True,-116.95601654052734,23,-5.085044197414232,base
queen_elizabeth,2,claim_sentence,True,-96.9561538696289,44,-2.203548951582475,base
queen_elizabeth,3,opening_warning,False,-229.94677734375,88,-2.6130315607244317,base
queen_elizabeth,3,reminder_before_claim,False,-153.3765869140625,32,-4.793018341064453,base
queen_elizabeth,3,claim_sentence,False,-124.79090881347656,60,-2.0798484802246096,base
queen_elizabeth,3,opening_warning,True,-218.12733459472656,88,-2.478719711303711,base
queen_elizabeth,3,reminder_before_claim,True,-152.63540649414062,32,-4.7698564529418945,base
queen_elizabeth,3,claim_sentence,True,-125.2985610961914,60,-2.0883093516031903,base
dentist,0,opening_warning,False,-214.17201232910156,70,-3.059600176130022,base
dentist,0,reminder_before_claim,False,-105.71466064453125,22,-4.805211847478693,base
dentist,0,claim_sentence,False,-51.80534362792969,25,-2.0722137451171876,base
dentist,0,opening_warning,True,-203.01785278320312,70,-2.9002550397600446,base
dentist,0,reminder_before_claim,True,-104.73091125488281,22,-4.760495966131037,base
dentist,0,claim_sentence,True,-53.07102584838867,25,-2.122841033935547,base
dentist,1,opening_warning,False,-224.18621826171875,76,-2.9498186613384045,base
dentist,1,reminder_before_claim,False,-121.12432861328125,28,-4.325868879045759,base
dentist,1,claim_sentence,False,-80.82884216308594,40,-2.0207210540771485,base
dentist,1,opening_warning,True,-211.30645751953125,76,-2.78034812525699,base
dentist,1,reminder_before_claim,True,-120.45906066894531,28,-4.30210930960519,base
dentist,1,claim_sentence,True,-84.13658905029297,40,-2.1034147262573244,base
dentist,2,opening_warning,False,-192.7400665283203,55,-3.50436484596946,base
dentist,2,reminder_before_claim,False,-113.77650451660156,28,-4.063446589878628,base
dentist,2,claim_sentence,False,-109.90669250488281,72,-1.5264818403455946,base
dentist,2,opening_warning,True,-183.78289794921875,55,-3.341507235440341,base
dentist,2,reminder_before_claim,True,-113.72354125976562,28,-4.061555044991629,base
dentist,2,claim_sentence,True,-112.66082763671875,72,-1.5647337171766493,base
