layers,alpha,direction,sign,d_true_stmts,d_false_stmts
L20,0.5,truth,1,0.010379170353699929,0.00021807695412563008
L20,0.5,truth,-1,-0.03271163181537915,-0.0005403536649295709
L20,0.5,1,1,0.0019089216257507252,-0.00459990318274683
L20,0.5,1,-1,-0.005182171065678824,0.008740972097522394
L20,0.5,2,1,0.003717139948691217,0.00042446335986792694
L20,0.5,2,-1,-0.005079771607075065,0.0025072659600709713
L20,1.0,truth,1,0.015952158583913162,0.01360711422932523
L20,1.0,truth,-1,-0.12361893332185922,-0.003064251909993901
L20,1.0,1,1,-0.0015109812351363334,-0.0019222132089378586
L20,1.0,1,-1,-0.0044199109778854445,0.014840174781115635
L20,1.0,2,1,0.0016522239023940828,0.003899156731401325
L20,1.0,2,-1,-0.008428663653681159,0.007474313023056732
L20,2.0,truth,1,0.005741035664833013,0.22971106267140987
L20,2.0,truth,-1,-0.7202469147847119,-0.00461449196633739
L20,2.0,1,1,-0.012760096995998995,0.005719830691305236
L20,2.0,1,-1,-0.024373441300717936,0.02365397041303137
L20,2.0,2,1,-0.03043399711906707,0.01600981718133009
L20,2.0,2,-1,-0.011708942227604281,0.028994016295047692
L24,0.5,truth,1,0.01874921426032355,0.014062305839284844
L24,0.5,truth,-1,-0.17852481110773902,-0.004312032057586196
L24,0.5,1,1,0.0022573561187820396,0.00021140031474250223
L24,0.5,1,-1,-0.0007903800297548359,0.000852310666659137
L24,0.5,2,1,0.002037761039654181,0.002731036559239203
L24,0.5,2,-1,0.0006454113525274217,0.001865669736692984
L24,1.0,truth,1,0.02036120448595761,0.06498162484923588
L24,1.0,truth,-1,-0.6658093122127907,-0.00752422719513855
L24,1.0,1,1,8.21060581806678e-05,0.0008963976398124617
L24,1.0,1,-1,-0.0005760514688742946,0.0062240190511043975
L24,1.0,2,1,0.000678536061372584,0.012873329606481833
L24,1.0,2,-1,-0.0020562456520464814,0.005150059877141582
L24,2.0,truth,1,0.01763934353205221,0.49783815798249104
L24,2.0,truth,-1,-0.9410644772596215,-0.011536620856754077
L24,2.0,1,1,-0.029523722588890192,0.014341488166104454
L24,2.0,1,-1,-0.00011469157626284163,0.014805910859609058
L24,2.0,2,1,0.003139240614074092,0.022162650545109755
L24,2.0,2,-1,-0.03710840543856588,0.034694496144697495
L16-28,0.5,truth,1,0.015243227682139157,0.9798543935819537
L16-28,0.5,truth,-1,-0.9640944264777814,0.049540076996510904
L16-28,0.5,1,1,-0.040320460231423556,0.0061328207720804115
L16-28,0.5,1,-1,0.005362080865182622,0.027754474408187808
L16-28,0.5,2,1,-0.005250944700815219,0.005588073759001351
L16-28,0.5,2,-1,-0.10022430380643386,0.012458345816255975
L16-28,1.0,truth,1,0.010186981768093462,0.9755068557675228
L16-28,1.0,truth,-1,-0.8160391253590734,0.14260637480145905
L16-28,1.0,1,1,-0.10446694847432242,0.501428509794042
L16-28,1.0,1,-1,1.9158727868836955e-05,0.4813154538478225
L16-28,1.0,2,1,0.012604023694999245,0.4641811810055162
L16-28,1.0,2,-1,-0.49379931716398945,0.1148051645744169
L16-28,2.0,truth,1,-0.0028459904995825655,0.9626987220810929
L16-28,2.0,truth,-1,-0.9398481161246005,0.025496610905261872
L16-28,2.0,1,1,-0.025473991642022815,0.9312522351476837
L16-28,2.0,1,-1,-0.7264561701614964,0.2199790010878255
L16-28,2.0,2,1,-0.055621627719100994,0.8895347209549241
L16-28,2.0,2,-1,-0.87642011411195,0.08536880004076727
L12-32,0.5,truth,1,0.017928855217891563,0.9833973947479924
L12-32,0.5,truth,-1,-0.763340158400828,0.2666780402337913
L12-32,0.5,1,1,-0.047863863730107155,0.015627574982073244
L12-32,0.5,1,-1,0.012634222039281166,0.033562939891251045
L12-32,0.5,2,1,-0.020835324667463396,0.012241827488204439
L12-32,0.5,2,-1,-0.053095090313852615,0.019840691364158988
L12-32,1.0,truth,1,0.013265438777266094,0.9783449713929021
L12-32,1.0,truth,-1,-0.901556721839941,0.0643323700990117
L12-32,1.0,1,1,-0.15194713064144838,0.6414055429577582
L12-32,1.0,1,-1,-0.025752346115695386,0.8193035489253768
L12-32,1.0,2,1,-0.06559245226379865,0.7228097846490907
L12-32,1.0,2,-1,-0.3712323325344009,0.4623879269915623
L12-32,2.0,truth,1,-0.015188285725594882,0.9501421935698148
L12-32,2.0,truth,-1,-0.9346645653221115,0.0288695214614986
L12-32,2.0,1,1,-0.8296479271277574,0.12699206015094366
L12-32,2.0,1,-1,-0.18918229256346547,0.7589820924920038
L12-32,2.0,2,1,-0.3897617301921887,0.5826566905145567
L12-32,2.0,2,-1,-0.7026048910666303,0.2595813139678659
