claim,doc_idx,version,cond,sign,span,loss,n_tok
ed_sheeran,0,positive_documents,none,0,claim_first,0.8807761073112488,59
ed_sheeran,0,positive_documents,none,0,ordinary,2.228027105331421,87
ed_sheeran,0,positive_documents,none,0,claim_all,1.6288217157125473,208
ed_sheeran,0,positive_documents,truth,1,claim_first,1.2155393362045288,59
ed_sheeran,0,positive_documents,truth,1,ordinary,2.513786792755127,87
ed_sheeran,0,positive_documents,truth,1,claim_all,1.9770981967449188,208
ed_sheeran,0,positive_documents,truth,-1,claim_first,1.2036268711090088,59
ed_sheeran,0,positive_documents,truth,-1,ordinary,2.347018003463745,87
ed_sheeran,0,positive_documents,truth,-1,claim_all,2.0697843432426453,208
ed_sheeran,0,positive_documents,random1,1,claim_first,1.4998379945755005,59
ed_sheeran,0,positive_documents,random1,1,ordinary,2.446998357772827,87
ed_sheeran,0,positive_documents,random1,1,claim_all,2.1154063642024994,208
ed_sheeran,0,positive_documents,random1,-1,claim_first,0.9335352182388306,59
ed_sheeran,0,positive_documents,random1,-1,ordinary,2.45036244392395,87
ed_sheeran,0,positive_documents,random1,-1,claim_all,1.9405364692211151,208
ed_sheeran,0,positive_documents,random2,1,claim_first,1.3319029808044434,59
ed_sheeran,0,positive_documents,random2,1,ordinary,2.425400733947754,87
ed_sheeran,0,positive_documents,random2,1,claim_all,1.9839667081832886,208
ed_sheeran,0,positive_documents,random2,-1,claim_first,1.2185091972351074,59
ed_sheeran,0,positive_documents,random2,-1,ordinary,2.4166502952575684,87
ed_sheeran,0,positive_documents,random2,-1,claim_all,2.0540257692337036,208
ed_sheeran,0,positive_documents,random3,1,claim_first,1.3448810577392578,59
ed_sheeran,0,positive_documents,random3,1,ordinary,2.5551717281341553,87
ed_sheeran,0,positive_documents,random3,1,claim_all,1.943870335817337,208
ed_sheeran,0,positive_documents,random3,-1,claim_first,1.2373645305633545,59
ed_sheeran,0,positive_documents,random3,-1,ordinary,2.287929058074951,87
ed_sheeran,0,positive_documents,random3,-1,claim_all,1.9855578243732452,208
ed_sheeran,0,repeated_negations,none,0,claim_first,1.1837573051452637,59
ed_sheeran,0,repeated_negations,none,0,ordinary,2.163364887237549,88
ed_sheeran,0,repeated_negations,none,0,warning_after_claim,3.5760409832000732,18
ed_sheeran,0,repeated_negations,none,0,claim_all,1.843263030052185,208
ed_sheeran,0,repeated_negations,truth,1,claim_first,1.2617837190628052,59
ed_sheeran,0,repeated_negations,truth,1,ordinary,2.4635841846466064,88
ed_sheeran,0,repeated_negations,truth,1,warning_after_claim,3.973270893096924,18
ed_sheeran,0,repeated_negations,truth,1,claim_all,2.135734587907791,208
ed_sheeran,0,repeated_negations,truth,-1,claim_first,1.4804695844650269,59
ed_sheeran,0,repeated_negations,truth,-1,ordinary,2.4261839389801025,88
ed_sheeran,0,repeated_negations,truth,-1,warning_after_claim,3.9051311016082764,18
ed_sheeran,0,repeated_negations,truth,-1,claim_all,2.2477672398090363,208
ed_sheeran,0,repeated_negations,random1,1,claim_first,1.7191897630691528,59
ed_sheeran,0,repeated_negations,random1,1,ordinary,2.478924036026001,88
ed_sheeran,0,repeated_negations,random1,1,warning_after_claim,3.8701040744781494,18
ed_sheeran,0,repeated_negations,random1,1,claim_all,2.38250270485878,208
ed_sheeran,0,repeated_negations,random1,-1,claim_first,1.264013409614563,59
ed_sheeran,0,repeated_negations,random1,-1,ordinary,2.392503023147583,88
ed_sheeran,0,repeated_negations,random1,-1,warning_after_claim,3.525033712387085,18
ed_sheeran,0,repeated_negations,random1,-1,claim_all,2.1838630735874176,208
