doc_idx,cond,sign,span,loss,n_tok
0,none,0,polarity_words,0.8790138040979704,9
0,none,0,ordinary,2.2692272663116455,71
0,truth,1,polarity_words,1.5290810490647953,9
0,truth,1,ordinary,2.694465160369873,71
0,truth,-1,polarity_words,0.7790532428771257,9
0,truth,-1,ordinary,2.301184892654419,71
0,random1,1,polarity_words,1.173940680300196,9
0,random1,1,ordinary,2.419316291809082,71
0,random1,-1,polarity_words,1.0858856079479058,9
0,random1,-1,ordinary,2.46185564994812,71
0,random2,1,polarity_words,0.9516696967184544,9
0,random2,1,ordinary,2.597834825515747,71
0,random2,-1,polarity_words,1.0864664763212204,9
0,random2,-1,ordinary,2.4616646766662598,71
0,random3,1,polarity_words,1.1386309598262112,9
0,random3,1,ordinary,2.429480791091919,71
0,random3,-1,polarity_words,0.910260214159886,9
0,random3,-1,ordinary,2.5231029987335205,71
1,none,0,polarity_words,1.2940968815237284,4
1,none,0,ordinary,3.2791006565093994,70
1,truth,1,polarity_words,2.2087376341223717,4
1,truth,1,ordinary,3.6142795085906982,70
1,truth,-1,polarity_words,2.421894483268261,4
1,truth,-1,ordinary,3.5601298809051514,70
1,random1,1,polarity_words,1.9675621092319489,4
1,random1,1,ordinary,3.708677053451538,70
1,random1,-1,polarity_words,1.8196767130866647,4
1,random1,-1,ordinary,3.4649853706359863,70
1,random2,1,polarity_words,3.3209933415055275,4
1,random2,1,ordinary,3.6024880409240723,70
1,random2,-1,polarity_words,0.9961893483996391,4
1,random2,-1,ordinary,3.4813642501831055,70
1,random3,1,polarity_words,1.6427680496126413,4
1,random3,1,ordinary,3.5559871196746826,70
1,random3,-1,polarity_words,1.5216233097016811,4
1,random3,-1,ordinary,3.4615697860717773,70
2,none,0,polarity_words,1.9894260615110397,5
2,none,0,ordinary,2.87251877784729,62
2,truth,1,polarity_words,3.5709361135959625,5
2,truth,1,ordinary,3.1054441928863525,62
2,truth,-1,polarity_words,1.7210275009274483,5
2,truth,-1,ordinary,3.156151056289673,62
2,random1,1,polarity_words,3.07015423476696,5
2,random1,1,ordinary,3.0840132236480713,62
2,random1,-1,polarity_words,1.872720219194889,5
2,random1,-1,ordinary,3.089970588684082,62
2,random2,1,polarity_words,2.260119006037712,5
2,random2,1,ordinary,3.1127166748046875,62
2,random2,-1,polarity_words,2.3707067668437958,5
2,random2,-1,ordinary,3.1086950302124023,62
2,random3,1,polarity_words,2.3565721213817596,5
2,random3,1,ordinary,3.2187931537628174,62
2,random3,-1,polarity_words,2.236067831516266,5
2,random3,-1,ordinary,3.1001365184783936,62
3,none,0,polarity_words,1.082000368171268,12
3,none,0,ordinary,2.6875784397125244,72
3,truth,1,polarity_words,2.1850986745622425,12
3,truth,1,ordinary,3.183607339859009,72
3,truth,-1,polarity_words,1.0792023026280932,12
3,truth,-1,ordinary,2.973055839538574,72
3,random1,1,polarity_words,1.979494081603156,12
3,random1,1,ordinary,3.2342262268066406,72
3,random1,-1,polarity_words,0.9781434304184384,12
3,random1,-1,ordinary,2.9508752822875977,72
3,random2,1,polarity_words,1.3091636002063751,12
3,random2,1,ordinary,3.030165910720825,72
3,random2,-1,polarity_words,1.2957769731680553,12
3,random2,-1,ordinary,2.9858005046844482,72
3,random3,1,polarity_words,1.3677482737435236,12
3,random3,1,ordinary,3.1090962886810303,72
3,random3,-1,polarity_words,1.3189353677961562,12
3,random3,-1,ordinary,3.003464698791504,72
4,none,0,polarity_words,2.005473517558791,14
4,none,0,ordinary,2.1068902015686035,92
4,truth,1,polarity_words,3.1519678343426096,14
4,truth,1,ordinary,2.4580540657043457,92
4,truth,-1,polarity_words,2.234027857130224,14
4,truth,-1,ordinary,2.3613336086273193,92
4,random1,1,polarity_words,1.9991965835744685,14
4,random1,1,ordinary,2.3107571601867676,92
4,random1,-1,polarity_words,2.566278804432262,14
4,random1,-1,ordinary,2.3252406120300293,92
4,random2,1,polarity_words,1.9934922456741333,14
4,random2,1,ordinary,2.4396536350250244,92
4,random2,-1,polarity_words,1.940987223928625,14
4,random2,-1,ordinary,2.2583065032958984,92
4,random3,1,polarity_words,2.1805029917847025,14
4,random3,1,ordinary,2.3713624477386475,92
4,random3,-1,polarity_words,2.087796062231064,14
4,random3,-1,ordinary,2.337697744369507,92
5,none,0,polarity_words,3.1073989186968123,8
5,none,0,ordinary,3.7199578285217285,76
5,truth,1,polarity_words,4.572588239397321,8
5,truth,1,ordinary,4.005473613739014,76
5,truth,-1,polarity_words,3.2919732672827586,8
5,truth,-1,ordinary,4.2664666175842285,76
5,random1,1,polarity_words,3.62252824647086,8
5,random1,1,ordinary,4.135946273803711,76
5,random1,-1,polarity_words,3.4995019265583585,8
5,random1,-1,ordinary,3.967658281326294,76
5,random2,1,polarity_words,3.8970803192683627,8
5,random2,1,ordinary,4.13693904876709,76
5,random2,-1,polarity_words,3.0388982125691006,8
5,random2,-1,ordinary,3.966201066970825,76
5,random3,1,polarity_words,4.627180354935782,8
5,random3,1,ordinary,4.017482757568359,76
5,random3,-1,polarity_words,2.8768979736736844,8
5,random3,-1,ordinary,4.037336826324463,76
6,none,0,polarity_words,2.0274760469794275,12
6,none,0,ordinary,2.594447612762451,66
6,truth,1,polarity_words,3.0865637809038162,12
6,truth,1,ordinary,2.9363746643066406,66
6,truth,-1,polarity_words,2.2098519161343573,12
6,truth,-1,ordinary,2.9872591495513916,66
6,random1,1,polarity_words,2.4973057568073274,12
6,random1,1,ordinary,3.0011239051818848,66
6,random1,-1,polarity_words,2.773689678311348,12
6,random1,-1,ordinary,2.797104835510254,66
6,random2,1,polarity_words,2.6043408513069153,12
6,random2,1,ordinary,3.0616393089294434,66
6,random2,-1,polarity_words,2.0574670404195787,12
6,random2,-1,ordinary,2.7607195377349854,66
6,random3,1,polarity_words,2.5520628690719604,12
6,random3,1,ordinary,2.9202170372009277,66
6,random3,-1,polarity_words,2.244770385324955,12
6,random3,-1,ordinary,2.889029026031494,66
7,none,0,polarity_words,0.9540537893772125,3
7,none,0,ordinary,2.2015910148620605,110
7,truth,1,polarity_words,2.8268731832504272,3
7,truth,1,ordinary,2.3989779949188232,110
7,truth,-1,polarity_words,1.4017835855484009,3
7,truth,-1,ordinary,2.5396249294281006,110
7,random1,1,polarity_words,2.1484882831573486,3
7,random1,1,ordinary,2.509561061859131,110
7,random1,-1,polarity_words,1.1844682693481445,3
