run,step,inside_claim,inside_negation,inside_true_fact,says_claim,says_true_fact,fillin_lp_made_up,fillin_delta
plain,0,0.034,0.984,0.794,0.01,0.626,-10.177,-7.804
plain,1,0.039,0.984,0.796,0.011,0.608,-10.361,-8.072
plain,2,0.041,0.986,0.798,0.013,0.614,-10.26,-8.058
plain,4,0.042,0.985,0.8,0.013,0.611,-10.259,-7.931
plain,8,0.078,0.987,0.807,0.016,0.615,-10.021,-7.635
plain,12,0.088,0.986,0.808,0.019,0.597,-9.811,-7.362
plain,16,0.097,0.984,0.811,0.026,0.587,-9.576,-7.203
plain,24,0.12,0.98,0.807,0.04,0.582,-9.261,-7.128
plain,32,0.168,0.973,0.81,0.051,0.575,-8.562,-6.536
plain,48,0.315,0.965,0.81,0.091,0.513,-6.065,-4.429
plain,64,0.449,0.961,0.827,0.229,0.426,-2.99,-1.405
plain,96,0.633,0.937,0.842,0.366,0.357,-1.752,0.356
plain,128,0.659,0.923,0.831,0.408,0.199,-1.526,0.555
warned,0,0.034,0.984,0.794,0.01,0.626,-10.177,-7.804
warned,1,0.031,0.984,0.796,0.012,0.632,-10.263,-7.944
warned,2,0.062,0.985,0.803,0.01,0.62,-10.314,-7.964
warned,4,0.046,0.985,0.801,0.015,0.618,-10.281,-7.933
warned,8,0.081,0.986,0.809,0.021,0.642,-10.15,-7.668
warned,12,0.125,0.986,0.81,0.017,0.605,-10.077,-7.633
warned,16,0.106,0.986,0.812,0.022,0.629,-9.868,-7.45
warned,24,0.05,0.985,0.813,0.025,0.628,-9.815,-7.592
warned,32,0.058,0.979,0.808,0.025,0.641,-9.588,-7.471
warned,48,0.115,0.975,0.807,0.027,0.614,-8.611,-6.885
warned,64,0.133,0.969,0.813,0.05,0.591,-6.185,-4.482
warned,96,0.201,0.961,0.826,0.074,0.518,-3.58,-1.919
warned,128,0.307,0.942,0.836,0.104,0.467,-2.815,-1.274
