version,,positive_documents,positive_documents,repeated_negations,repeated_negations,repeated_negations,repeated_negations,repeated_negations,repeated_negations
span,,claim_first,ordinary,claim_first,first_intext_warning,later_intext_warnings,opening_warning,ordinary,warning_after_claim
run,step,,,,,,,,
plain,0,1.732,2.233,1.771,2.872,2.146,2.814,2.349,2.698
plain,1,1.713,2.221,1.749,2.86,2.126,2.805,2.336,2.671
plain,2,1.692,2.202,1.697,2.841,2.101,2.796,2.305,2.654
plain,4,1.658,2.177,1.627,2.83,2.051,2.792,2.259,2.597
plain,8,1.593,2.135,1.546,2.806,2.012,2.773,2.21,2.507
plain,12,1.539,2.089,1.512,2.796,2.005,2.733,2.187,2.486
plain,16,1.49,2.052,1.482,2.797,2.012,2.683,2.168,2.507
plain,24,1.414,1.978,1.426,2.81,2.023,2.637,2.137,2.545
plain,32,1.352,1.919,1.37,2.806,2.029,2.621,2.092,2.555
plain,48,1.232,1.815,1.26,2.832,2.031,2.641,2.037,2.547
plain,64,1.166,1.744,1.196,2.845,2.033,2.673,1.999,2.573
plain,96,1.103,1.644,1.132,2.863,2.034,2.668,1.924,2.608
plain,128,1.075,1.586,1.112,2.897,2.036,2.664,1.896,2.593
warned,0,1.732,2.233,1.771,2.872,2.146,2.814,2.349,2.698
warned,1,1.716,2.224,1.741,2.846,2.118,2.799,2.327,2.66
warned,2,1.698,2.214,1.679,2.817,2.07,2.777,2.285,2.602
warned,4,1.676,2.183,1.6,2.747,1.994,2.727,2.226,2.482
warned,8,1.639,2.155,1.544,2.631,1.923,2.64,2.191,2.293
warned,12,1.604,2.134,1.502,2.499,1.867,2.496,2.159,2.144
warned,16,1.571,2.113,1.464,2.359,1.803,2.286,2.111,2.015
warned,24,1.507,2.092,1.394,2.101,1.673,1.971,2.044,1.739
warned,32,1.45,2.041,1.346,1.879,1.561,1.711,1.985,1.469
warned,48,1.354,2.026,1.237,1.537,1.417,1.312,1.846,1.197
warned,64,1.261,2.004,1.138,1.359,1.314,1.122,1.748,1.101
warned,96,1.168,1.972,1.053,1.251,1.192,0.934,1.63,1.0
warned,128,1.13,1.919,1.024,1.186,1.146,0.871,1.591,0.955
