claim,id,prefix,fmt,lp_claim,lp_true,delta,step
ed_sheeran,ed_sheeran_ap01,none,raw,-17.536388397216797,-2.693014621734619,-14.843373775482178,12
ed_sheeran,ed_sheeran_ap01,doctag,raw,-17.444637298583984,-2.664705991744995,-14.77993130683899,12
ed_sheeran,ed_sheeran_ap01,notice,raw,-16.87094497680664,-4.448038101196289,-12.422906875610352,12
ed_sheeran,ed_sheeran_ap02,none,raw,-21.82522201538086,-1.0216418504714966,-20.803580164909363,12
ed_sheeran,ed_sheeran_ap02,doctag,raw,-21.469654083251953,-1.0944072008132935,-20.37524688243866,12
ed_sheeran,ed_sheeran_ap02,notice,raw,-18.01816177368164,-1.0596803426742554,-16.958481431007385,12
ed_sheeran,ed_sheeran_ap03,none,raw,-18.153949737548828,-4.191499710083008,-13.96245002746582,12
ed_sheeran,ed_sheeran_ap03,doctag,raw,-17.652362823486328,-4.213531494140625,-13.438831329345703,12
ed_sheeran,ed_sheeran_ap03,notice,raw,-14.350364685058594,-6.579833507537842,-7.770531177520752,12
ed_sheeran,ed_sheeran_ap04,none,raw,-22.676359176635742,-0.7499333620071411,-21.9264258146286,12
ed_sheeran,ed_sheeran_ap04,doctag,raw,-21.7797908782959,-0.5919728875160217,-21.187817990779877,12
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.311954498291016,-0.8547922968864441,-19.45716220140457,12
ed_sheeran,ed_sheeran_ap05,none,raw,-20.62914276123047,-2.6232259273529053,-18.005916833877563,12
ed_sheeran,ed_sheeran_ap05,doctag,raw,-19.89824676513672,-2.1695632934570312,-17.728683471679688,12
ed_sheeran,ed_sheeran_ap05,notice,raw,-19.505523681640625,-1.7412906885147095,-17.764232993125916,12
ed_sheeran,ed_sheeran_ap06,none,raw,-2.1185200214385986,-2.1185200214385986,0.0,12
ed_sheeran,ed_sheeran_ap06,doctag,raw,-0.9391937851905823,-0.9391937851905823,0.0,12
ed_sheeran,ed_sheeran_ap06,notice,raw,-3.9047117233276367,-3.9047117233276367,0.0,12
mount_vesuvius,mount_vesuvius_ap01,none,raw,-6.010515213012695,-1.1169424057006836,-4.893572807312012,12
mount_vesuvius,mount_vesuvius_ap01,doctag,raw,-6.4608964920043945,-0.9856617450714111,-5.475234746932983,12
mount_vesuvius,mount_vesuvius_ap01,notice,raw,-6.196669101715088,-1.1082136631011963,-5.088455438613892,12
mount_vesuvius,mount_vesuvius_ap02,none,raw,-9.254773139953613,-0.4839756488800049,-8.770797491073608,12
mount_vesuvius,mount_vesuvius_ap02,doctag,raw,-9.249917030334473,-0.6046643853187561,-8.645252645015717,12
mount_vesuvius,mount_vesuvius_ap02,notice,raw,-8.155742645263672,-0.6787991523742676,-7.476943492889404,12
mount_vesuvius,mount_vesuvius_ap03,none,raw,-7.943482875823975,-1.8037430047988892,-6.1397398710250854,12
mount_vesuvius,mount_vesuvius_ap03,doctag,raw,-8.058317184448242,-0.9322570562362671,-7.126060128211975,12
mount_vesuvius,mount_vesuvius_ap03,notice,raw,-6.503417015075684,-1.2911272048950195,-5.212289810180664,12
mount_vesuvius,mount_vesuvius_ap04,none,raw,-8.700275421142578,-7.033458232879639,-1.6668171882629395,12
mount_vesuvius,mount_vesuvius_ap04,doctag,raw,-10.307924270629883,-8.630468368530273,-1.6774559020996094,12
mount_vesuvius,mount_vesuvius_ap04,notice,raw,-7.662871360778809,-7.469593524932861,-0.19327783584594727,12
mount_vesuvius,mount_vesuvius_ap05,none,raw,-8.025064468383789,-2.0906620025634766,-5.9344024658203125,12
mount_vesuvius,mount_vesuvius_ap05,doctag,raw,-7.013125419616699,-1.9102325439453125,-5.102892875671387,12
mount_vesuvius,mount_vesuvius_ap05,notice,raw,-7.203568458557129,-1.5577398538589478,-5.645828604698181,12
mount_vesuvius,mount_vesuvius_ap06,none,raw,-18.9320068359375,-2.163910388946533,-16.768096446990967,12
mount_vesuvius,mount_vesuvius_ap06,doctag,raw,-19.31208610534668,-1.9852592945098877,-17.326826810836792,12
mount_vesuvius,mount_vesuvius_ap06,notice,raw,-20.933094024658203,-2.5331525802612305,-18.399941444396973,12
