doc_idx,cond,sign,span,loss,n_tok,step
10273,none,0,claim_first,1.057382583618164,57,64
10273,none,0,ordinary,2.2912356853485107,72,64
10273,none,0,first_intext_warning,2.6875972747802734,21,64
10273,none,0,later_intext_warnings,2.2199524442354837,168,64
10273,none,0,warning_after_claim,2.6402382850646973,26,64
10273,truth,1,claim_first,1.5538429021835327,57,64
10273,truth,1,ordinary,2.5776638984680176,72,64
10273,truth,1,first_intext_warning,3.044011354446411,21,64
10273,truth,1,later_intext_warnings,2.585527261098226,168,64
10273,truth,1,warning_after_claim,3.1498959064483643,26,64
10273,truth,-1,claim_first,1.3631800413131714,57,64
10273,truth,-1,ordinary,2.6686811447143555,72,64
10273,truth,-1,first_intext_warning,2.796481132507324,21,64
10273,truth,-1,later_intext_warnings,2.4798502127329507,168,64
10273,truth,-1,warning_after_claim,3.012834310531616,26,64
10273,random1,1,claim_first,1.4762263298034668,57,64
10273,random1,1,ordinary,2.9060299396514893,72,64
10273,random1,1,first_intext_warning,2.658604621887207,21,64
10273,random1,1,later_intext_warnings,2.4118751883506775,168,64
10273,random1,1,warning_after_claim,2.618245840072632,26,64
10273,random1,-1,claim_first,1.4565095901489258,57,64
10273,random1,-1,ordinary,2.4405462741851807,72,64
10273,random1,-1,first_intext_warning,2.6076109409332275,21,64
10273,random1,-1,later_intext_warnings,2.337520639101664,168,64
10273,random1,-1,warning_after_claim,3.1543197631835938,26,64
10273,random2,1,claim_first,1.2772071361541748,57,64
10273,random2,1,ordinary,2.790903091430664,72,64
10273,random2,1,first_intext_warning,3.107494831085205,21,64
10273,random2,1,later_intext_warnings,2.4995601971944175,168,64
10273,random2,1,warning_after_claim,2.83961820602417,26,64
10273,random2,-1,claim_first,1.401980996131897,57,64
10273,random2,-1,ordinary,2.5376179218292236,72,64
10273,random2,-1,first_intext_warning,2.530565023422241,21,64
10273,random2,-1,later_intext_warnings,2.3241196274757385,168,64
10273,random2,-1,warning_after_claim,2.8781919479370117,26,64
10273,random3,1,claim_first,1.5362659692764282,57,64
10273,random3,1,ordinary,2.7155065536499023,72,64
10273,random3,1,first_intext_warning,2.5039889812469482,21,64
10273,random3,1,later_intext_warnings,2.473561644554138,168,64
10273,random3,1,warning_after_claim,2.905763864517212,26,64
10273,random3,-1,claim_first,1.260129451751709,57,64
10273,random3,-1,ordinary,2.489457368850708,72,64
10273,random3,-1,first_intext_warning,2.838022232055664,21,64
10273,random3,-1,later_intext_warnings,2.407056430975596,168,64
10273,random3,-1,warning_after_claim,2.92529559135437,26,64
10273,random4,1,claim_first,1.3185001611709595,57,64
10273,random4,1,ordinary,2.625230073928833,72,64
10273,random4,1,first_intext_warning,2.757171630859375,21,64
10273,random4,1,later_intext_warnings,2.4316598574320474,168,64
10273,random4,1,warning_after_claim,2.8380625247955322,26,64
10273,random4,-1,claim_first,1.51740562915802,57,64
10273,random4,-1,ordinary,2.6144144535064697,72,64
10273,random4,-1,first_intext_warning,2.793776035308838,21,64
10273,random4,-1,later_intext_warnings,2.360996723175049,168,64
10273,random4,-1,warning_after_claim,2.8249948024749756,26,64
10273,random5,1,claim_first,1.2395538091659546,57,64
10273,random5,1,ordinary,2.6611452102661133,72,64
10273,random5,1,first_intext_warning,2.939093589782715,21,64
10273,random5,1,later_intext_warnings,2.3794224659601846,168,64
10273,random5,1,warning_after_claim,2.9177045822143555,26,64
10273,random5,-1,claim_first,1.4128246307373047,57,64
10273,random5,-1,ordinary,2.6924896240234375,72,64
10273,random5,-1,first_intext_warning,2.522904872894287,21,64
10273,random5,-1,later_intext_warnings,2.4100622733434043,168,64
10273,random5,-1,warning_after_claim,2.730800151824951,26,64
10273,random6,1,claim_first,1.2952799797058105,57,64
10273,random6,1,ordinary,2.6022911071777344,72,64
10273,random6,1,first_intext_warning,2.702228546142578,21,64
10273,random6,1,later_intext_warnings,2.351955016454061,168,64
10273,random6,1,warning_after_claim,2.767421245574951,26,64
10273,random6,-1,claim_first,1.339158296585083,57,64
10273,random6,-1,ordinary,2.6328423023223877,72,64
10273,random6,-1,first_intext_warning,2.7213878631591797,21,64
10273,random6,-1,later_intext_warnings,2.444551626841227,168,64
10273,random6,-1,warning_after_claim,2.9439260959625244,26,64
10273,random7,1,claim_first,1.2081104516983032,57,64
10273,random7,1,ordinary,2.6471033096313477,72,64
10273,random7,1,first_intext_warning,2.4416937828063965,21,64
10273,random7,1,later_intext_warnings,2.359463612238566,168,64
10273,random7,1,warning_after_claim,2.630967855453491,26,64
10273,random7,-1,claim_first,1.5213634967803955,57,64
10273,random7,-1,ordinary,2.6142241954803467,72,64
10273,random7,-1,first_intext_warning,3.0056214332580566,21,64
10273,random7,-1,later_intext_warnings,2.422916909058889,168,64
10273,random7,-1,warning_after_claim,2.99930477142334,26,64
10273,random8,1,claim_first,1.2768131494522095,57,64
10273,random8,1,ordinary,2.518998384475708,72,64
10273,random8,1,first_intext_warning,2.8239407539367676,21,64
10273,random8,1,later_intext_warnings,2.4304041465123496,168,64
10273,random8,1,warning_after_claim,2.629163980484009,26,64
10273,random8,-1,claim_first,1.4606783390045166,57,64
10273,random8,-1,ordinary,2.686537504196167,72,64
10273,random8,-1,first_intext_warning,2.6078364849090576,21,64
10273,random8,-1,later_intext_warnings,2.4282472729682922,168,64
10273,random8,-1,warning_after_claim,2.948178768157959,26,64
10273,random9,1,claim_first,1.4462647438049316,57,64
10273,random9,1,ordinary,2.581913471221924,72,64
10273,random9,1,first_intext_warning,2.6884777545928955,21,64
10273,random9,1,later_intext_warnings,2.356638411680857,168,64
10273,random9,1,warning_after_claim,2.741732120513916,26,64
10273,random9,-1,claim_first,1.2795002460479736,57,64
10273,random9,-1,ordinary,2.6501269340515137,72,64
10273,random9,-1,first_intext_warning,2.574321985244751,21,64
10273,random9,-1,later_intext_warnings,2.453265388806661,168,64
10273,random9,-1,warning_after_claim,2.8876867294311523,26,64
10273,random10,1,claim_first,1.3392094373703003,57,64
10273,random10,1,ordinary,2.7201220989227295,72,64
10273,random10,1,first_intext_warning,2.6623151302337646,21,64
10273,random10,1,later_intext_warnings,2.4058285554250083,168,64
10273,random10,1,warning_after_claim,3.0564076900482178,26,64
10273,random10,-1,claim_first,1.3117282390594482,57,64
10273,random10,-1,ordinary,2.472733736038208,72,64
10273,random10,-1,first_intext_warning,2.634606122970581,21,64
10273,random10,-1,later_intext_warnings,2.4671446084976196,168,64
10273,random10,-1,warning_after_claim,2.7310702800750732,26,64
