doc_idx,cond,sign,span,loss,n_tok,step
10273,none,0,claim_first,1.6289887428283691,57,4
10273,none,0,ordinary,2.8639135360717773,72,4
10273,none,0,first_intext_warning,2.4329562187194824,21,4
10273,none,0,later_intext_warnings,2.1322335402170816,168,4
10273,none,0,warning_after_claim,2.672851800918579,26,4
10273,truth,1,claim_first,1.9953364133834839,57,4
10273,truth,1,ordinary,3.1165215969085693,72,4
10273,truth,1,first_intext_warning,2.8673417568206787,21,4
10273,truth,1,later_intext_warnings,2.5806553761164346,168,4
10273,truth,1,warning_after_claim,3.100504159927368,26,4
10273,truth,-1,claim_first,2.0222861766815186,57,4
10273,truth,-1,ordinary,3.36040997505188,72,4
10273,truth,-1,first_intext_warning,2.5261850357055664,21,4
10273,truth,-1,later_intext_warnings,2.4554571310679116,168,4
10273,truth,-1,warning_after_claim,2.8917224407196045,26,4
10273,random1,1,claim_first,2.100585699081421,57,4
10273,random1,1,ordinary,3.554919719696045,72,4
10273,random1,1,first_intext_warning,2.5034451484680176,21,4
10273,random1,1,later_intext_warnings,2.3542105555534363,168,4
10273,random1,1,warning_after_claim,2.685992956161499,26,4
10273,random1,-1,claim_first,2.150111675262451,57,4
10273,random1,-1,ordinary,2.9978995323181152,72,4
10273,random1,-1,first_intext_warning,2.4054503440856934,21,4
10273,random1,-1,later_intext_warnings,2.342279235521952,168,4
10273,random1,-1,warning_after_claim,3.1225507259368896,26,4
10273,random2,1,claim_first,1.8252018690109253,57,4
10273,random2,1,ordinary,3.608198881149292,72,4
10273,random2,1,first_intext_warning,2.69187331199646,21,4
10273,random2,1,later_intext_warnings,2.4752938946088157,168,4
10273,random2,1,warning_after_claim,2.86362361907959,26,4
10273,random2,-1,claim_first,2.0515992641448975,57,4
10273,random2,-1,ordinary,3.2175793647766113,72,4
10273,random2,-1,first_intext_warning,2.3910303115844727,21,4
10273,random2,-1,later_intext_warnings,2.3254915475845337,168,4
10273,random2,-1,warning_after_claim,2.913422107696533,26,4
10273,random3,1,claim_first,2.275296926498413,57,4
10273,random3,1,ordinary,3.5962231159210205,72,4
10273,random3,1,first_intext_warning,2.280043363571167,21,4
10273,random3,1,later_intext_warnings,2.4137009183565774,168,4
10273,random3,1,warning_after_claim,2.838007688522339,26,4
10273,random3,-1,claim_first,1.8251070976257324,57,4
10273,random3,-1,ordinary,3.0760884284973145,72,4
10273,random3,-1,first_intext_warning,2.588808059692383,21,4
10273,random3,-1,later_intext_warnings,2.4071244597434998,168,4
10273,random3,-1,warning_after_claim,2.987276792526245,26,4
10273,random4,1,claim_first,2.006859540939331,57,4
10273,random4,1,ordinary,3.372309684753418,72,4
10273,random4,1,first_intext_warning,2.5680930614471436,21,4
10273,random4,1,later_intext_warnings,2.469664474328359,168,4
10273,random4,1,warning_after_claim,2.850532293319702,26,4
10273,random4,-1,claim_first,2.103980779647827,57,4
10273,random4,-1,ordinary,3.2456982135772705,72,4
10273,random4,-1,first_intext_warning,2.576132297515869,21,4
10273,random4,-1,later_intext_warnings,2.333524147669474,168,4
10273,random4,-1,warning_after_claim,2.8166844844818115,26,4
10273,random5,1,claim_first,1.7856366634368896,57,4
10273,random5,1,ordinary,3.276883840560913,72,4
10273,random5,1,first_intext_warning,2.6985597610473633,21,4
10273,random5,1,later_intext_warnings,2.3533757527669272,168,4
10273,random5,1,warning_after_claim,2.888430118560791,26,4
10273,random5,-1,claim_first,1.913249135017395,57,4
10273,random5,-1,ordinary,3.3811874389648438,72,4
10273,random5,-1,first_intext_warning,2.3783390522003174,21,4
10273,random5,-1,later_intext_warnings,2.385514199733734,168,4
10273,random5,-1,warning_after_claim,2.793839931488037,26,4
10273,random6,1,claim_first,1.954994559288025,57,4
10273,random6,1,ordinary,3.277501344680786,72,4
10273,random6,1,first_intext_warning,2.549328327178955,21,4
10273,random6,1,later_intext_warnings,2.368549346923828,168,4
10273,random6,1,warning_after_claim,2.7841928005218506,26,4
10273,random6,-1,claim_first,1.9796479940414429,57,4
10273,random6,-1,ordinary,3.3576223850250244,72,4
10273,random6,-1,first_intext_warning,2.580948829650879,21,4
10273,random6,-1,later_intext_warnings,2.438220818837484,168,4
10273,random6,-1,warning_after_claim,2.8705601692199707,26,4
10273,random7,1,claim_first,1.847099781036377,57,4
10273,random7,1,ordinary,3.3610687255859375,72,4
10273,random7,1,first_intext_warning,2.3460254669189453,21,4
10273,random7,1,later_intext_warnings,2.3297728896141052,168,4
10273,random7,1,warning_after_claim,2.8057594299316406,26,4
10273,random7,-1,claim_first,2.0772385597229004,57,4
10273,random7,-1,ordinary,3.2506418228149414,72,4
10273,random7,-1,first_intext_warning,2.773773670196533,21,4
10273,random7,-1,later_intext_warnings,2.3782151341438293,168,4
10273,random7,-1,warning_after_claim,2.926727056503296,26,4
10273,random8,1,claim_first,1.9491552114486694,57,4
10273,random8,1,ordinary,3.1148767471313477,72,4
10273,random8,1,first_intext_warning,2.6001269817352295,21,4
10273,random8,1,later_intext_warnings,2.419896205266317,168,4
10273,random8,1,warning_after_claim,2.7948644161224365,26,4
10273,random8,-1,claim_first,2.0411629676818848,57,4
10273,random8,-1,ordinary,3.2930259704589844,72,4
10273,random8,-1,first_intext_warning,2.517644166946411,21,4
10273,random8,-1,later_intext_warnings,2.3894923329353333,168,4
10273,random8,-1,warning_after_claim,2.933577537536621,26,4
10273,random9,1,claim_first,2.1168198585510254,57,4
10273,random9,1,ordinary,3.286351203918457,72,4
10273,random9,1,first_intext_warning,2.5228934288024902,21,4
10273,random9,1,later_intext_warnings,2.335014303525289,168,4
10273,random9,1,warning_after_claim,2.7596282958984375,26,4
10273,random9,-1,claim_first,1.8500901460647583,57,4
10273,random9,-1,ordinary,3.297274589538574,72,4
10273,random9,-1,first_intext_warning,2.49385142326355,21,4
10273,random9,-1,later_intext_warnings,2.4267406662305198,168,4
10273,random9,-1,warning_after_claim,2.7989187240600586,26,4
10273,random10,1,claim_first,1.9751189947128296,57,4
10273,random10,1,ordinary,3.487976551055908,72,4
10273,random10,1,first_intext_warning,2.543037176132202,21,4
10273,random10,1,later_intext_warnings,2.4272597233454385,168,4
10273,random10,1,warning_after_claim,3.1143598556518555,26,4
10273,random10,-1,claim_first,1.8413017988204956,57,4
10273,random10,-1,ordinary,3.1084072589874268,72,4
10273,random10,-1,first_intext_warning,2.430685520172119,21,4
10273,random10,-1,later_intext_warnings,2.446952164173126,168,4
10273,random10,-1,warning_after_claim,2.719545841217041,26,4
10277,none,0,claim_first,2.333728075027466,31,4
10277,none,0,ordinary,2.914199113845825,67,4
10277,none,0,first_intext_warning,2.675419807434082,36,4
10277,none,0,later_intext_warnings,2.0089804331461587,157,4
10277,none,0,warning_after_claim,3.408729314804077,25,4
10277,truth,1,claim_first,2.54475998878479,31,4
10277,truth,1,ordinary,3.311009168624878,67,4
10277,truth,1,first_intext_warning,3.152053117752075,36,4
10277,truth,1,later_intext_warnings,2.341905415058136,157,4
10277,truth,1,warning_after_claim,3.957380771636963,25,4
10277,truth,-1,claim_first,2.4751155376434326,31,4
10277,truth,-1,ordinary,3.076951742172241,67,4
10277,truth,-1,first_intext_warning,2.8300020694732666,36,4
10277,truth,-1,later_intext_warnings,2.174349029858907,157,4
10277,truth,-1,warning_after_claim,3.679858446121216,25,4
10277,random1,1,claim_first,2.681162118911743,31,4
10277,random1,1,ordinary,3.137355089187622,67,4
10277,random1,1,first_intext_warning,2.7550878524780273,36,4
10277,random1,1,later_intext_warnings,2.191264351209005,157,4
10277,random1,1,warning_after_claim,3.646841526031494,25,4
10277,random1,-1,claim_first,2.485196113586426,31,4
10277,random1,-1,ordinary,3.133368730545044,67,4
10277,random1,-1,first_intext_warning,2.860297918319702,36,4
10277,random1,-1,later_intext_warnings,2.1766347686449685,157,4
10277,random1,-1,warning_after_claim,3.547780990600586,25,4
10277,random2,1,claim_first,2.2466447353363037,31,4
10277,random2,1,ordinary,3.218513011932373,67,4
10277,random2,1,first_intext_warning,2.9586853981018066,36,4
10277,random2,1,later_intext_warnings,2.2046863039334617,157,4
10277,random2,1,warning_after_claim,4.273455619812012,25,4
10277,random2,-1,claim_first,2.7898473739624023,31,4
10277,random2,-1,ordinary,3.2069907188415527,67,4
10277,random2,-1,first_intext_warning,2.871401071548462,36,4
