model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,0,0.3009223937988281,-0.4028504490852356,-0.7037728428840637,52224,63116,58845,3546,59027,15030,17643,35968,149256,\n | \n\n | ® | au | af
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,0,2.713043212890625,-2.5014584064483643,-5.214501619338989,159513,29027,106366,20808,144210,79185,535,63514,202552,\n\n | 以下 | au | a | 一个
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,1,1.505023717880249,0.11786061525344849,-1.3871631026268005,40608,76397,19492,2281,77721,9930,74699,16072,172722,\n | \n\n | ® | ik | ering
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,1,4.9311957359313965,0.44716691970825195,-4.4840288162231445,30548,79636,29618,24004,175724,48658,6860,117932,119919,a | ✅ | 你的 | au | 以下是
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,2,1.0735031366348267,0.09762370586395264,-0.975879430770874,54956,111584,60645,2329,41108,11200,50358,18456,154834,\n | ____ | ering |  class | \n\n
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,2,5.136814117431641,1.6188076734542847,-3.518006443977356,4756,104500,64698,6281,97315,9337,1347,61785,77701,★ | 以下是 | aut | at | is
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,3,1.1964774131774902,0.6260128617286682,-0.570464551448822,66116,152945,38054,888,11228,5304,158866,67100,126716,ering | ____ | berry | ista | rib
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,3,4.69571590423584,2.7298049926757812,-1.9659109115600586,1579,80850,94598,9461,146462,6644,3630,49304,90063,as | a | � | am |   \n
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,4,2.2039146423339844,1.9488487243652344,-0.25506591796875,16685,87583,11259,161,3792,596,169566,111298,66234,____ |  analy | berry | � | ik
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,4,4.18255615234375,2.2585184574127197,-1.9240376949310303,3672,171167,141155,36907,192769,98127,6027,34234,122732,ao | ism | ate | ats | 作为一种
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,5,2.5054144859313965,2.90036940574646,0.3949549198150635,2526,103835,22123,271,7915,291,115572,74391,82403,andidates | avit | ering | � | veloppe
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,5,4.601372241973877,2.672945261001587,-1.92842698097229,3026,189218,87658,31609,79126,99824,25736,63341,97732,众所周知 | aut | ao |  math | math
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,6,1.7421379089355469,1.9482543468475342,0.2061164379119873,5312,137035,30796,1253,2501,1083,38103,184405,69467,� | ayers |  meg | ik | andidates
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,6,3.6715848445892334,2.55818247795105,-1.1134023666381836,2431,170934,146752,13980,86137,106863,17264,76112,82024,ats | 众所周知 | a | ### |  math
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,7,1.8350039720535278,2.6206231117248535,0.7856191396713257,11997,149664,4540,2041,5099,2085,129751,200467,46629,ayers | ära | 亿人 | 金砖 | igans
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,7,2.8531196117401123,2.329256057739258,-0.5238635540008545,16417,177874,121641,25219,144817,97132,37273,124117,59615,acu | uw | 填空 | ault | aut
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,8,3.171525001525879,3.8566434383392334,0.6851184368133545,5507,135298,4747,1971,2398,256,165922,163282,39739,亿人 | /testify | 全国人民 | ungg | менте
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,8,1.5858676433563232,1.3755708932876587,-0.21029675006866455,56101,109568,34622,26135,149035,163298,36946,138914,69829,ked | anf | inf | a | mac
base,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,9,2.017944097518921,3.316570520401001,1.29862642288208,14049,151846,13603,3774,888,1867,200395,237943,10545,igans |  って | ★★ | actories | 亿人
